ZGNXdate,ZGNXnews,ZGNXsource
04/09/19,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Zogenix, Inc. - ZGNX",PRN
04/08/19,"Zogenix, Inc.(ZGNX-US) Schedules FINTEPLA NDA Update Call for 8-April-2019 4:30 PM ET",FCSTEV
04/08/19,Zogenix Receives Refusal to File Letter from U.S. Food and Drug Administration for FINTEPLA¬ New Drug Application,PMZ
04/01/19,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
03/26/19,"Zogenix, Inc.(ZGNX-US) Schedules William Blair Late-Stage Therapeutics Conference for 4-April-2019 8:00 AM ET",FCSTEV
03/26/19,"Zogenix, Inc.(ZGNX-US) Schedules Stifel CNS Day for 1-April-2019 3:35 PM ET",FCSTEV
03/25/19,Zogenix to Present at Two Investor Conferences in April,PMZ
03/19/19,Zogenix Enters Exclusive Distribution Agreement with Nippon Shinyaku for FINTEPLA¬æin Japan,PMZ
03/01/19,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
02/28/19,Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2018 Financial Results,PMZ
02/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2018 Earnings Release for 28-February-2019 4:01 PM ET",FCSTEV
02/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2018 Earnings Call for 28-February-2019 4:30 PM ET",FCSTEV
02/21/19,Zogenix to Release Fourth Quarter and Full-Year 2018 Financial Results and Host Conference Call and Webcast on February 28,PMZ
02/20/19,Zogenix to Present at the 8th Annual SVB Leerink Global Healthcare Conference,PMZ
02/06/19,Zogenix Submits New Drug Application to U.S. Food & Drug Administration  and Marketing Authorization Application to European Medicines Agency  for FINTEPLA¬ for the Treatment of Dravet Syndrome,PMZ
02/01/19,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
01/31/19,"Zogenix, Inc.(ZGNX-US) Schedules SVB Leerink Partners Global Health Care Conference for 27-February-2019 9:00 AM ET",FCSTEV
01/02/19,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
12/03/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
12/03/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting for 3-December-2018 1:00 PM ET",FCSTEV
12/03/18,Zogenix Announces Positive Phase 3 Trial Results on the Efficacy and Safety of FINTEPLA¬ (ZX008) in Dravet Syndrome,PMZ
12/02/18,Zogenix Presents Positive Findings on the Impact of Treatment with FINTEPLA¬ (ZX008) on Everyday Executive Function in Patients with Dravet Syndrome,PMZ
11/29/18,Zogenix to Host Investor Update Lunch on FINTEPLA¬ at the American Epilepsy Society 2018 Annual Meeting,PMZ
11/27/18,"Zogenix, Inc.(ZGNX-US) Schedules Mizuho Global Investor Conference for 4-December-2018",FCSTEV
11/27/18,Zogenix to Participate in the Global Mizuho Investor Conference 2018,PMZ
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster #3.463 for 3-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster # 2.230 for 2-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster # 2.424 for 2-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster #:2.454 for 2-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster # 2.406 for 2-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster #3.461 for 3-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster # 3.202 for 3-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster # 2.243 for 2-December-2018 1:00 PM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting for 2-December-2018 9:00 AM ET",FCSTEV
11/26/18,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster #3.453 for 3-December-2018 1:00 PM ET",FCSTEV
11/26/18,Zogenix to Announce New Data at 72nd American Epilepsy Society Annual Meeting,PMZ
11/08/18,Zogenix Provides Corporate Update and Reports Third Quarter Financial Results,PMZ
11/07/18,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Health Care Conference for 14-November-2018 8:45 AM ET",FCSTEV
11/07/18,Zogenix to Present at Stifel 2018 Healthcare Conference,PMZ
11/01/18,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2018 Earnings Call for 8-November-2018 4:30 PM ET",FCSTEV
11/01/18,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2018 Earnings Release for 8-November-2018 After Market Hours ET",FCSTEV
11/01/18,Zogenix to Release Third Quarter 2018 Financial Results and Host Conference Call and Webcast on November 8,PMZ
10/01/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
09/25/18,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners LLC Roundtable Series Rare Disease & Oncology Conference for 2-October-2018 10:30 AM ET",FCSTEV
09/25/18,Zogenix to Present at LEERINK Partners Roundtable Series: Rare Disease & Immuno-Oncology,PMZ
09/04/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
09/04/18,Zogenix Phase 2 Study Results Published in Epilepsia Show ZX008 Provides Durable Reduction in Seizure Frequency in Patients With Lennox-Gastaut Syndrome,PMZ
08/30/18,Zogenix Announces New Data on Psychological and Socioeconomic Impact of Dravet Syndrome and Other Epileptic Encephalopathies at 13th European Congress on Epileptology,PMZ
08/07/18,Zogenix Prices Public Offering of Common Stock,PMZ
08/06/18,"Zogenix Announces Proposed Public Offering of 6,000,000 Shares of Common Stock",PMZ
08/06/18,Zogenix Provides Corporate Update and Reports Second Quarter Financial Results,PMZ
08/01/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
08/01/18,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2018 Earnings Call for 6-August-2018 4:30 PM ET",FCSTEV
08/01/18,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2018 Earnings Release for 6-August-2018 After Market Hours ET",FCSTEV
08/01/18,Zogenix to Release Second Quarter 2018 Financial Results and Host Conference Call and Webcast on August 6,PMZ
07/12/18,"Zogenix, Inc.(ZGNX-US) Schedules ZX008 Pivotal Phase III Clinical Trial Results Call for 12-July-2018 8:30 AM ET",FCSTEV
07/12/18,Zogenix Announces Positive Top-line Results from Second Pivotal Phase 3 Clinical Trial of ZX008 in Dravet Syndrome,PMZ
07/02/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
07/02/18,Zogenix Welcomes New Global Chief Commercial Officer,PMZ
06/01/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
05/14/18,"Zogenix, Inc.(ZGNX-US) Schedules Bank of America Merrill Lynch Health Care Conference for 17-May-2018 12:20 PM ET",FCSTEV
05/14/18,Zogenix to Participate in the Bank of America Merrill Lynch 2018 Healthcare Conference,PMZ
05/09/18,Zogenix Provides Corporate Update and Reports First Quarter Financial Results,PMZ
05/04/18,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2018 Earnings Call for 9-May-2018 4:30 PM ET",FCSTEV
05/04/18,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2018 Earnings Release for 9-May-2018 After Market Hours ET",FCSTEV
05/04/18,Zogenix to Release First Quarter 2018 Financial Results and Host Conference Call and Webcast on May 9,PMZ
05/01/18,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
04/27/18,Zogenix Announces Initial Quality of Life and Cognitive Function Data From Phase 3 Trial of ZX008 in Dravet Syndrome,PMZ
04/25/18,Zogenix Announces Presentation of New Efficacy and Safety Data from its FirstæPivotal Phase 3 Clinical Trial of ZX008 in Dravet Syndrome,PMZ
04/20/18,"Zogenix, Inc.(ZGNX-US) Schedules American Academy of Neurology Meeting for 21-April-2018",FCSTEV
04/17/18,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 23-May-2018 11:00 AM ET",FCSTEV
04/11/18,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners CNS Day for 18-April-2018 2:40 PM ET",FCSTEV
04/11/18,Zogenix to Participate in LEERINK Partners CNS Day,PMZ
03/06/18,Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2017 Financial Results,PMZ
03/06/18,"Zogenix, Inc. to Host Earnings Call",NEWS_ACW
02/27/18,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2017 Earnings Call for 6-March-2018 4:30 PM ET",FCSTEV
02/27/18,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2017 Earnings Release for 6-March-2018 After Market Hours ET",FCSTEV
02/27/18,Zogenix to Release Fourth Quarter and Full-Year 2017 Financial Results and Host Conference Call and Webcast on March 6,PMZ
02/08/18,"Zogenix, Inc.(ZGNX-US) Schedules LEERINK Partners Global Healthcare Conference for 15-February-2018 9:00 AM ET",FCSTEV
02/08/18,Zogenix to Participate in Leerink Partners 7th Annual Global Healthcare Conference,PMZ
02/06/18,Zogenix Announces Receipt of FDA Breakthrough Therapy Designation for ZX008 in Dravet Syndrome,PMZ
01/31/18,Zogenix Completes Enrollment in Second ZX008 Phase 3 Clinical Trial in Dravet Syndrome,PMZ
01/04/18,Counsyl Appoints Ann Rhoads to Board of Directors,BW
12/04/17,Zogenix Announces New Positive Efficacy and Safety Data from  Pivotal Phase 3 Clinical Trial of ZX008 in Dravet Syndrome,PMZ
11/29/17,"Zogenix, Inc.(ZGNX-US) Schedules Mizuho Americas Global Investor Conference for 5-December-2017",FCSTEV
11/29/17,Zogenix Announces Initiation of Phase 3 Trial for  ZX008 in Lennox-Gastaut Syndrome,PMZ
11/29/17,Zogenix to Participate in the Global Mizuho Investor Conference 2017,PMZ
11/28/17,"Zogenix, Inc.(ZGNX-US) Schedules Business Update Call for 4-December-2017 4:30 PM ET",FCSTEV
11/28/17,"Zogenix To Host Call with Pediatric Epilepsy Expert Joseph Sullivan, M.D., on Dravet Syndrome and ZX008 on Monday, December 4",PMZ
11/21/17,New Data from Zogenix's Phase 3 Trial of ZX008 in Dravet Syndrome (Study 1) and Findings on Disease Impact to be Presented at 71st American Epilepsy Society Annual Meeting,PMZ
11/14/17,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Nicolaus Health Care Conference for 15-November-2017 8:45 AM ET",FCSTEV
11/14/17,Zogenix to Present at Stifel 2017 Healthcare Conference,PMZ
11/07/17,Zogenix Provides Corporate Update and Reports Third Quarter 2017 Financial Results,PMZ
11/07/17,"Zogenix, Inc. to Host Earnings Call",NEWS_ACW
10/31/17,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2017 Earnings Release for 7-November-2017 After Market Hours ET",FCSTEV
10/31/17,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2017 Earnings Call for 7-November-2017 4:30 PM ET",FCSTEV
10/31/17,Zogenix to Release Third Quarter 2017 Financial Results and Host Conference Call and Webcast on November 7,PMZ
10/16/17,Interim Survey Results Demonstrate Impact on Siblings of Children Suffering from Severe Epilepsy,PMZ
10/05/17,"Zogenix Announces Closing of Public Offering of Common Stock, Including Full Exercise of Underwriters' Option to Purchase Additional Shares",PMZ
10/03/17,Biotech Sector Notches Impressive Year-to-date Returns With Positive Outlook for Development of New Drugs and Therapies,PRN
10/02/17,Zogenix Prices Public Offering of Common Stock,PMZ
10/02/17,"Zogenix Announces Proposed Public Offering of 4,300,000 Shares of Common Stock",PMZ
09/29/17,"Zogenix, Inc.(ZGNX-US) Schedules ZX008 Phase 3 Trial Results Call for 29-September-2017 8:30 AM ET",FCSTEV
09/29/17,Zogenix Announces Positive Top-line Results from Pivotal Phase 3 Clinical Trial of ZX008 in Dravet Syndrome,PMZ
08/08/17,Zogenix Provides Corporate Update and Reports Second Quarter 2017 Financial Results,PMZ
08/08/17,"Investor Network: Zogenix, Inc. to Host Earnings Call",NEWS_ACW
08/01/17,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2017 Earnings Call for 8-August-2017 4:30 PM ET",FCSTEV
08/01/17,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2017 Earnings Release for 8-August-2017 After Market Hours ET",FCSTEV
08/01/17,Zogenix to Release Second Quarter 2017 Financial Results and Host Conference Call and Webcast on August 8,PMZ
06/22/17,Zogenix Receives Orphan Drug Designation from FDA for ZX008 in Treatment of Lennox Gastaut Syndrome,PMZ
06/14/17,"Sienna Biopharmaceuticals Appoints Erle Mast, Former CFO and Co-Founder of Clovis Oncology, to Board of Directors",PMZ
06/05/17,"Zogenix, Inc.(ZGNX-US) Schedules Jefferies Global Health Care Conference for 7-June-2017 2:00 PM ET",FCSTEV
05/31/17,Zogenix to Present at the Jefferies 2017 Global Healthcare Conference,PMZ
05/22/17,Zogenix Announces Presentation of ZX008 Mechanism of Action Data at Annual Meeting of Society of Biological Psychiatry,PMZ
05/04/17,Zogenix Provides Corporate Update and Reports First Quarter 2017 Financial Results,PMZ
05/04/17,"Investor Network: Zogenix, Inc. to Host Earnings Call",NEWS_ACW
05/01/17,Blog Coverage Zogenix Announces Completion of Enrollment for the Phase III Trial in Dravet Syndrome,NEWS_ACW
04/27/17,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2017 Earnings Release for 4-May-2017 After Market Hours ET",FCSTEV
04/27/17,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2017 Earnings Call for 4-May-2017 4:30 PM ET",FCSTEV
04/27/17,Zogenix Completes Enrollment in First ZX008 Phase 3 Clinical Trial in Dravet Syndrome,PMZ
04/27/17,Zogenix to Release First Quarter 2017 Financial Results and Host Conference Call and Webcast on May 4,PMZ
04/20/17,"Zogenix, Inc.(ZGNX-US) Schedules American Academy of Neurology Meeting for 21-April-2017",FCSTEV
04/14/17,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 23-May-2017",FCSTEV
04/11/17,"Zogenix, Inc.(ZGNX-US) Schedules Dravet Conference for 12-April-2017",FCSTEV
03/15/17,"Zogenix, Inc.(ZGNX-US) Schedules Oppenheimer Health Care Conference for 22-March-2017 2:10 PM ET",FCSTEV
03/15/17,Zogenix to Participate in the Oppenheimer 27th Annual Healthcare Conference,PMZ
03/09/17,Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2016 Financial Results,PMZ
03/02/17,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2016 Earnings Release for 9-March-2017 After Market Hours ET",FCSTEV
03/02/17,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2016 Earnings Call for 9-March-2017 4:30 PM ET",FCSTEV
03/02/17,Zogenix to Release Fourth Quarter and Full-Year 2016 Financial Results and Host Conference Call and Webcast on March 9,PMZ
03/01/17,Zogenix Receives Orphan Drug Designation in the European Union for ZX008 in Lennox Gastaut Syndrome,PMZ
02/15/17,"Zogenix, Inc.(ZGNX-US) Schedules RBC Capital Markets Health Care Conference for 22-February-2017",FCSTEV
02/15/17,Zogenix to Participate in the 2017 RBC Capital Markets Healthcare Conference,PMZ
02/13/17,Zogenix Announces Initiation of Clinical Efficacy Portion of Study 1504 for ZX008 in Dravet Syndrome,PMZ
02/08/17,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners Global Healthcare Conference for 15-February-2017 9:30 AM ET",FCSTEV
02/08/17,Zogenix to Participate in the Leerink Partners 6th Annual Global Healthcare Conference,PMZ
01/30/17,Zogenix Announces Issuance of U.S. Patent for ZX008 in Dravet Syndrome,PMZ
01/05/17,Zogenix Announces CFO Transition,PMZ
12/05/16,Zogenix Announces New Efficacy and Safety Data for ZX008 in Treatment of Seizures in Lennox Gastaut Syndrome & Dravet Syndrome,PMZ
11/24/16,"Zogenix, Inc.(ZGNX-US) Schedules Oppenheimer Life Sciences Summit for 29-November-2016",FCSTEV
11/22/16,New Data on Zogenix's ZX008 for Lennox Gastaut Syndrome & Dravet Syndrome to be Presented at 70th Annual American Epilepsy Society Meeting,PMZ
11/22/16,Zogenix to Participate in Oppenheimer Life Sciences Summit 2016,PMZ
11/08/16,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Healthcare Conference for 15-November-2016 3:45 PM ET",FCSTEV
11/08/16,Zogenix to Participate in Stifel 2016 Healthcare Conference,PMZ
11/07/16,Zogenix Provides Corporate Update and Reports Third Quarter 2016 Financial Results,PMZ
10/31/16,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2016 Earnings Release for 7-November-2016 After Market Hours ET",FCSTEV
10/31/16,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2016 Earnings Call for 7-November-2016 4:30 PM ET",FCSTEV
10/31/16,Zogenix to Release Third Quarter 2016 Financial Results and Host Conference Call and Webcast on November 7,PMZ
09/20/16,"Zogenix, Inc.(ZGNX-US) Schedules Ladenburg Thalmann Health Care Conference for 27-September-2016 4:00 PM ET",FCSTEV
09/20/16,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners Roundtable Series Rare Disease and Immuno-Oncology Conference for 28-September-2016 10:00 AM ET",FCSTEV
09/20/16,Zogenix to Participate in Two Upcoming Investor Conferences,PMZ
09/08/16,Zogenix to have Significant Presence at 12th European Congress on Epileptology,PMZ
08/09/16,Zogenix Provides Corporate Update and Reports Second Quarter 2016 Financial Results,PMZ
08/02/16,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2016 Earnings Call for 9-August-2016 4:30 PM ET",FCSTEV
08/02/16,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2016 Earnings Release for 9-August-2016 After Market Hours ET",FCSTEV
08/02/16,Zogenix to Release Second Quarter 2016 Financial Results and Host Conference Call and Webcast on August 9,PMZ
06/21/16,"Zogenix Announces Agreement to Refinance Debt, Further Increasing Company's Expected 2017 Cash Balance",PMZ
06/07/16,Zogenix Announces Initiation of Multi-National Phase 3 Clinical Trial for ZX008 in Dravet Syndrome,PMZ
06/07/16,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 13-July-2016",FCSTEV
05/31/16,"Zogenix, Inc.(ZGNX-US) Schedules Jefferies Health Care Conference for 7-June-2016 9:30 AM ET",FCSTEV
05/31/16,Zogenix to Participate in Jefferies 2016 Healthcare Conference,PMZ
05/10/16,Zogenix Provides Corporate Update and Reports First Quarter 2016 Financial Results,PMZ
05/05/16,Zogenix Announces New Efficacy and Safety Data on ZX008 for Treatment of Seizures in Dravet Syndrome,PMZ
05/03/16,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2016 Earnings Call for 10-May-2016 4:30 PM ET",FCSTEV
05/03/16,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2016 Earnings Release for 10-May-2016 After Market Hours ET",FCSTEV
05/03/16,Zogenix to Release First Quarter 2016 Financial Results and Host Conference Call and Webcast on May 10,PMZ
04/21/16,New Data on Zogenix's ZX008 for Dravet Syndrome to be Presented at 14thæInternational Child Neurology Congress,PMZ
03/10/16,Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2015 Financial Results,PMZ
03/04/16,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2015 Earnings Call for 10-March-2016 4:30 PM ET",FCSTEV
03/04/16,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2015 Earnings Release for 10-March-2016 After Market Hours ET",FCSTEV
03/04/16,Zogenix to Release Fourth Quarter and Full-Year 2015 Financial Results and Host Conference Call and Webcast on March 10,PMZ
02/03/16,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners Global Health Care Conference for 10-February-2016 10:40 AM ET",FCSTEV
02/03/16,Zogenix to Participate in LEERINK Partners 5th Annual Global Healthcare Conference,PMZ
01/19/16,Zogenix Receives Fast Track Designation From FDA for Development of ZX008 in Dravet Syndrome,PMZ
01/11/16,Zogenix Announces Initiation of Phase 3 Program for ZX008 in Dravet Syndrome,PMZ
12/18/15,"Healthcare Sector Equities under the Scanner -- Zogenix, Amarin, SciClone Pharma, and PetMed Express",NEWS_ACW
12/14/15,Zogenix Announces FDA Acceptance of Investigational New Drug Application for ZX008 Phase 3 Clinical Trial in Dravet Syndrome,PMZ
12/07/15,Zogenix Announces New Efficacy and Safety Data on ZX008 for Treatment of Seizures in Dravet Syndrome,PMZ
11/25/15,New Data on Zogenix's ZX008 for Dravet Syndrome to be Presented at 69th Annual American Epilepsy Society Meeting,PMZ
11/11/15,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Health Care Conference for 18-November-2015 11:00 AM ET",FCSTEV
11/11/15,Zogenix to Participate in Stifel 2015 Healthcare Conference,PMZ
11/09/15,Zogenix Provides Corporate Update and Reports Third Quarter 2015 Financial Results,PMZ
11/02/15,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2015 Earnings Call for 9-November-2015 4:30 PM ET",FCSTTS
11/02/15,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2015 Earnings Release for 9-November-2015 After Market Hours ET",FCSTTS
11/02/15,Zogenix to Release Third Quarter 2015 Financial Results and Host Conference Call & Webcast on November 9,PMZ
10/19/15,Zogenix Provides Regulatory Update for ZX008,PMZ
10/05/15,"Tokalas appoints James B. Breitmeyer, M.D., Ph.D., President & CEO",PRN
09/30/15,Zogenix Reports Positive Top-Line Results From Relday(TM) Phase 1b Multi-Dose Clinical Trial,PMZ
09/23/15,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Partners Rare Disease Roundtable Conference for 30-September-2015 9:40 AM ET",FCSTTS
09/23/15,Zogenix to Participate in the Leerink Partners 4th Annual Rare Disease Roundtable,PMZ
09/03/15,Zogenix to Participate in the Wells Fargo 2015 Healthcare Conference,PMZ
08/10/15,Zogenix Provides Corporate Update and Reports Second Quarter 2015 Financial Results,PMZ
08/10/15,"Zogenix, Inc.(ZGNX-US) Schedules Wells Fargo Healthcare Conference for 10-September-2015 8:35 AM ET",FCSTEV
08/05/15,"Zogenix Announces Closing of Public Offering of Common Stock, Including Full Exercise of Underwriters' Option to Purchase Additional Shares",PMZ
08/03/15,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2015 Earnings Release for 10-August-2015 After Market Hours ET",FCSTEV
08/03/15,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2015 Earnings Call for 10-August-2015 4:30 PM ET",FCSTTS
08/03/15,Zogenix to Release Second Quarter 2015 Financial Results and Host Conference Call & Webcast on August 10,PMZ
07/30/15,Zogenix Prices Public Offering of Common Stock,PMZ
07/28/15,"Zogenix Announces Proposed Public Offering of 3,800,000 Shares of Common Stock",PMZ
07/21/15,"Leadership Appointments Bodes Well with Strategic Focus - Report on Zogenix, Inc.",PRN
07/13/15,Biotech Briefing: FDA Events & Recent Clinical Trials Fuel Therapeutic Advancements That Continue to Drive the Pharma & Biotech Sectors,PRN
07/07/15,"Zogenix to Host Key Opinion Leader Meeting Tuesday, July 14, in New York City",PMZ
07/06/15,"Zogenix, Inc.(ZGNX-US) Schedules Cantor Fitzgerald Healthcare Conference for 8-July-2015 1:30 PM ET",FCSTTS
07/06/15,Zogenix Expands Senior Leadership Team to Further Drive Strategic Focus on CNS Disorders and Orphan Drug Development,PMZ
07/06/15,Zogenix to Participate in Cantor Fitzgerald Healthcare Conference,PMZ
07/01/15,"Zogenix, Inc.(ZGNX-US) Schedules Cantor Fitzgerald Inaugural Health Care Conference for 8-July-2015 1:30 PM ET",FCSTEV
06/18/15,Zogenix Announces Shareholders and Board of Directors Approve Reverse Stock Split,PMZ
05/27/15,Zogenix Announces New Efficacy Data From a Long-Term Study of Low-Dose Fenfluramine for Treatment of Dravet Syndrome,PMZ
05/12/15,"Market Updates on Pharma Stocks - Zogenix, Valeant Pharma Intl., Sanofi, Novartis, and Ampio Pharma",PRN
05/12/15,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 18-June-2015",FCSTTS
05/11/15,Zogenix Provides Corporate Update and Reports First Quarter 2015 Financial Results,PMZ
05/04/15,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2015 Earnings Call for 11-May-2015 4:30 PM ET",FCSTTS
05/04/15,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2015 Earnings Release for 11-May-2015 After Market Hours ET",FCSTTS
05/04/15,Zogenix to Release First Quarter 2015 Financial Results and Host Conference Call & Webcast on May 11,PMZ
04/27/15,Dr. Stephen Farr Appointed as CEO of Zogenix to Lead New Strategic Focus and Advance Late-Stage CNS Product Pipeline,PMZ
04/24/15,Pernix Therapeutics Closes Acquisition of Zohydro ER Franchise,BW
04/24/15,Zogenix Closes Sale of Zohydro(R) ER Business to Pernix,PMZ
04/08/15,Post-Earnings Report - Zogenix,PRN
03/26/15,Zogenix Announces First Patient Dosed in Relday Multi-Dose Clinical Study,PMZ
03/10/15,"Pernix to Acquire Zohydro¬ ER Franchise from Zogenix, Inc.",BW
03/10/15,Zogenix Announces Agreement of Sale of Zohydro(R) ER Business to Pernix for $100 Million at Closing Plus Potential Milestones of $283.5 Million,PMZ
03/10/15,Zogenix Reports Fourth Quarter and Full Year 2014 Financial Results,PMZ
03/10/15,"Technical Snapshot on Pharma Stocks -- Pfizer, Zogenix, Sanofi, Nektar Therapeutics, and IGI Laboratories",PRN
03/02/15,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2014 Earnings Call for 10-March-2015 4:30 PM ET",FCSTTS
03/02/15,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2014 Earnings Release for 10-March-2015 After Market Hours ET",FCSTTS
03/02/15,Zogenix Announces Conference Call and Webcast to Present Fourth Quarter and Full Year 2014 Financial Results,PMZ
02/10/15,Zogenix Appoints Industry Veteran Renee Tannenbaum to Its Board of Directors,PMZ
02/05/15,Zogenix to Participate in Leerink Global Healthcare Conference,PMZ
02/03/15,"Zogenix, Inc.(ZGNX-US) Schedules Leerink Global Health Care Conference for 11-February-2015 8:00 AM ET",FCSTEV
02/02/15,"Pharma Equities Under the Scanner - Pfizer, Sanofi, Eli Lilly, AstraZeneca, and Zogenix",PRN
01/30/15,Zogenix Receives FDA Approval of New Formulation of Zohydro(R) ER,PMZ
01/12/15,Zogenix Provides Business Update,PMZ
01/05/15,"Zogenix 2015 Expectations and Developments Drive Price Upward: Analyst Report Issued by BrokerBank Securities, Inc.",PRN
12/15/14,"Analysts View on Pharma Equities - Zogenix, Eli Lilly, Nektar Therapeutics, Sanofi, and Novartis",PRN
12/03/14,"Zogenix, Inc.(ZGNX-US) Schedules Oppenheimer Healthcare Conference for 10-December-2014 10:55 AM ET",FCSTEV
12/03/14,Zogenix to Participate in Oppenheimer 25th Annual Healthcare Conference,PMZ
12/01/14,"Results of Long-Term, Open-Label Study Published in the Journal of Pain Research Demonstrate the Safety, Tolerability and Effectiveness of Zohydro(R) ER",PMZ
11/12/14,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Healthcare Conference for 18-November-2014 11:30 AM ET",FCSTEV
11/12/14,Zogenix to Participate in Stifel 2014 Healthcare Conference,PMZ
11/06/14,Zogenix Reports Third Quarter 2014 Financial Results,PMZ
11/04/14,"Pharma Stocks on our Radar - Pfizer, Merck, Sanofi, Shire, and Zogenix",PRN
