FBdate,FBnews,FBsource
03/09/16,MEDIA ADVISORY: Facebook and Greater Kitchener Waterloo Chamber of Commerce to host free workshop for Kitchener-Waterloo businesses,CNW
03/09/16,DJ pressetext.de: Like-Button: Aufkl_rung Ÿber Datenweitergabe n_tig - Verbraucherzentrale NRW klagt erfolgreich gegen Peek & Cloppenburg,DJPA
03/04/16,DJ pressetext.de: StartMail realisiert PGP-Komplettl_sung fŸr alle - Europ_ische L_sung ist die Alternative fŸr risikobehaftete US-Dienste,DJPA
03/04/16,DJ StartMail realisiert PGP-Komplettl_sung fŸr alle - Europ_ische L_sung ist die Alternative fŸr risikobehaftete US-Dienste,DJPA
03/02/16,"DJ pressetext.de: Lauschangriff Ÿber Handy-Mikrofon ein Kinderspiel - Security-Experten: ""Waren Ÿberrascht, wie leicht das funktioniert""",DJPA
02/23/16,"DJ pressetext.de: Googles AMP: F.A.Z. wagt sich aus der Deckung - News in Millisekunden - Pendant zu ""Instant Articles"" von Facebook",DJPA
02/23/16,"Facebook, Inc.(FB-US) Schedules Morgan Stanley Technology, Media and Telecom Conference for 2-March-2016 3:00 PM ET",FCSTEV
02/23/16,"Facebook to Participate in the Morgan Stanley 2016 Technology, Media & Telecom Conference",PRN
02/22/16,DJ pressetext.de: Facebook stellt Bev_lkerungskarte der Erde vor - Mega-Netzwerk plant Infrastrukturwandel mit Drohnen und Satelliten,DJPA
02/22/16,"Facebook, Inc.(FB-US) Schedules Jefferies Media & Communications Conference - Panel for 23-February-2016 2:20 PM ET",FCSTEV
02/22/16,Facebook to Participate in the Jefferies Media & Communications Conference,PRN
02/12/16,DJ pressetext.de: Facebook Messenger: Mehrere Accounts und SMS - Unternehmen reaktiviert alte Funktionen aus 2013 in aktueller Testphase,DJPA
02/09/16,MeWe Shuts Down Rumors on Being Acquired by Facebook During Wake of Social Media Censorship,PRN
02/09/16,"DJ pressetext.de: Super Bowl 2016: Streaming bricht alle Rekorde - 3,96 Mio. User haben †bertragung des Sportevents online mitverfolgt",DJPA
02/07/16,DJ pressetext.de: Schlafmangel begŸnstigt Facebook-Sucht - Neue Studie belegt: †bermŸdete suchen seichte Ablenkung,DJPA
02/02/16,Facebook to Participate in the Goldman Sachs Technology and Internet Conference 2016,PRN
01/28/16,DJ pressetext.de: Zeitungen stechen digitale Medien auf Facebook aus - Auf Twitter ist das Gegenteil der Fall: Online-Nachrichten gewinnen,DJPA
01/27/16,Facebook Reports Fourth Quarter and Full Year 2015 Results,PRN
01/26/16,"Facebook, Inc.(FB-US) Schedules Goldman Sachs Technology and Internet Conference for 9-February-2016 5:00 PM ET",FCSTEV
01/04/16,"Facebook, Inc.(FB-US) Schedules Q4 2015 Earnings Call for 27-January-2016 5:00 PM ET",FCSTEV
01/04/16,"Facebook, Inc.(FB-US) Schedules Q4 2015 Earnings Release for 27-January-2016 4:05 PM ET",FCSTEV
01/04/16,Facebook to Announce Fourth Quarter and Full Year 2015 Results,PRN
12/28/15,"DJ pressetext.de: RŸckblick 2015: IS-Terror, Facebook-Kritik und Pornos - Propaganda-Kampf im Web, gelangweilte User, Sexsucht und App-Wahn",DJPA
12/17/15,"DJ pressetext.de: Katzen-App ""Smittn"": Auf Samtpfoten zum Sieg - Durch Wischen nach links und rechts werden sŸ§este Vierbeiner gekŸrt",DJPA
12/16/15,Facebook Names Clash of Kings its 2015 Game of the Year,PRNE
12/11/15,Clash of Kings Wins Facebook's 2015 Game of the Year,PRNE
12/01/15,"Facebook, Inc.(FB-US) Schedules UBS Global Media and Communications Conference for 8-December-2015 9:15 AM ET",FCSTTS
12/01/15,Facebook to Participate in the UBS 43rd Annual Global Media and Communications Conference,PRN
11/23/15,DJ pressetext.de: †ber 300 Facebook-Freunde machen depressiv - H_herer Cortisolspiegel begŸnstigt Erkrankung im Erwachsenenalter,DJPA
11/17/15,Facebook CEO Mark Zuckerberg Named 2015 Top Wealth Creator by Chief Executive Magazine,PRN
11/17/15,"DJ ""Marketing 2016"": Digitale Transformation in allen Bereichen - Neues Jahrbuch der K_media AG auch als App erh_ltlich",DJPA
11/17/15,"DJ pressetext.de: ""Marketing 2016"": Digitale Transformation in allen Bereichen - Neues Jahrbuch der K_media AG auch als App erh_ltlich",DJPA
11/16/15,Facebook to Launch Instant Articles With Aaj Tak as Partner,PRNE
11/16/15,Facebook to Launch Instant Articles With India Today and Aaj Tak as Partners,PRNE
11/11/15,"DJ pressetext.de: KŸnstler erstellt Facebook-Armee aus Fake-Profilen - Neues Projekt ""The Possibility of an Army"" als Protest gegen Zahlenwahn",DJPA
11/06/15,An Updated and Customized Notifications Tab - Report on Facebook,NEWS_ACW
11/04/15,Facebook Reports Third Quarter 2015 Results,PRN
11/03/15,DJ pressetext.de: Kosmetik: Sephora sperrt US-Shop fŸr Australier - Unternehmen muss sich Abzocke- und Betrugs-VorwŸrfen stellen,DJPA
10/28/15,"DJ pressetext.de: Facebook in Indien: US-Entwickler spŸren 2G-Web - ""2G Tuesday"" soll allen Mitarbeitern Leben mit langsamem Web zeigen",DJPA
10/14/15,"DJ pressetext.de: Facebook bastelt an neuem Hilfs-Tool fŸr Blinde - Beeintr_chtigten Nutzern werden Inhalte von Bildern ""vorgelesen""",DJPA
10/09/15,DJ pressetext.de: Urlaubsfotos auf Facebook machen User neidisch - †ber die H_lfte der Nutzer g_nnt Freunden entspannende Zeit nicht,DJPA
10/01/15,"Facebook, Inc.(FB-US) Schedules Q3 2015 Earnings Release for 4-November-2015 4:03 PM ET",FCSTEV
10/01/15,"Facebook, Inc.(FB-US) Schedules Q3 2015 Earnings Call for 4-November-2015 5:00 PM ET",FCSTEV
10/01/15,Facebook to Announce Third Quarter 2015 Results,PRN
09/29/15,DJ pressetext.de: Generation X hat h_ufig keine Lust auf Social Media - Junge Menschen zunehmend desinteressiert an st_ndiger Erreichbarkeit,DJPA
09/29/15,DJ pressetext.de: Unternehmer Edmund Breitenfeld launcht mit Telemelder.de ein Facebook zu Automation - Neues Portal bietet hochspezialisierte Pressemeldungen fŸr Automations-Industrie,DJPA
09/29/15,DJ Unternehmer Edmund Breitenfeld launcht mit Telemelder.de ein Facebook zu Automation - Neues Portal bietet hochspezialisierte Pressemeldungen fŸr Automations-Industrie,DJPA
09/11/15,DJ pressetext.de: Arme Schlucker haben mehr ausl_ndische Freunde - Sozial h_hergestellte Schichten bleiben auf Facebook gerne unter sich,DJPA
09/02/15,Harris Poll AutoTECHCAST(SM): In-Car Technology Arms Race Leaves More Than Four in Ten Consumers Feeling Automakers Offer Too Much,PRN
09/01/15,"Facebook, Inc.(FB-US) Schedules Money20/20 Conference - Keynote: Deborah Liu for 27-October-2015 4:40 PM ET",FCSTTS
09/01/15,"Facebook, Inc.(FB-US) Schedules Money20/20 Conference - Panel- Card-Linking: The Emerging Essential Tool for Digital Commerce for 27-October-2015 12:35 PM ET",FCSTTS
09/01/15,"Facebook, Inc.(FB-US) Schedules Money20/20 Conference - Panel-Social Commerce: The Rise of the Buy Button for 26-October-2015 2:10 PM ET",FCSTTS
09/01/15,DJ pressetext.de: Social Media: M_nner haben Frauen fast eingeholt - Geschlechtergef_lle auf manchen Plattformen aber noch ausgepr_gt,DJPA
08/11/15,Chinese Orthopedics Industry Looks to the United States,PRNA
08/10/15,Innovations Galore: An Update Over New Features - Report on Facebook,PRN
08/04/15,DJ pressetext.de: Jetset-Leben im Netz gef_hrlich glamourisiert - Experten sehen alarmierenden Trend gegen BedŸrfnisse des K_rpers,DJPA
07/30/15,DJ pressetext.de: Facebook-Liebesbekundungen kitten Beziehungen - Virtuelles Turteln vor Publikum schwei§t die Partner eher zusammen,DJPA
07/29/15,DJ pressetext.de: Plattform findet via Social Media perfekte M_bel - Target zieht Facebook und Instagram fŸr Kundenpr_ferenzen heran,DJPA
07/29/15,Facebook Reports Second Quarter 2015 Results,PRN
07/26/15,DJ pressetext.de: Zu viel Facebook f_rdert Suizidgedanken bei Teens - Zwei Stunden Social Media pro Tag begŸnstigen mentale Probleme,DJPA
07/20/15,DJ pressetext.de: Facebook: Pensionisten-Hype Ÿberrollt Netzwerk - 81 Prozent surfen t_glich und suchen intensiv nach alten Liebschaften,DJPA
07/08/15,DJ pressetext.de: Social Media Ÿberzeugt Shopper mehr als Webseite - Apps und Coupons erfreuen sich bei den Kunden h_chster Beliebtheit,DJPA
07/08/15,"DJ newsfox.com: 18th European Health Forum Gastein: Securing health in Europe - Balancing priorities, sharing responsibilities: 30 September - 2 October 2015/Bad Hofgastein/Austria",DJPA
07/08/15,DJ 18. European Health Forum Gastein: Gesundheit in Europa sichern - Priorit_ten setzen und Verantwortung teilen - 30. September bis 2. Oktober 2015 in Bad Hofgastein,DJPA
07/02/15,DJ pressetext.de: Facebook als Lernhilfe wissenschaftlich best_tigt - Foren auf der Social-Media-Seite sind gute Erg_nzung zum Unterricht,DJPA
07/01/15,"Facebook, Inc.(FB-US) Schedules Q2 2015 Earnings Call for 29-July-2015 5:00 PM ET",FCSTEV
07/01/15,"Facebook, Inc.(FB-US) Schedules Q2 2015 Earnings Release for 29-July-2015 After Market Hours ET",FCSTTS
07/01/15,Facebook to Announce Second Quarter 2015 Results,PRN
06/16/15,"DJ pressetext.de: ""Moments"": Facebook-App erm_glicht Foto-Tausch - Erstellen von Gruppen mit Freunden sowie Teilen von Bildern als Ziel",DJPA
06/10/15,DJ pressetext.de: Facebook Messenger: Erstes Game fŸr die App - User k_nnen im Chat kŸnftig auch zeichnen - Service derzeit gratis,DJPA
06/08/15,Facebook Features Hollywood Director Timur Bekmambetov's Start-Up on Messenger,INW
06/01/15,DJ pressetext.de: Schweizer Fintech-Startup lanciert innovative Online-Payment-Plattform,DJPA
06/01/15,DJ Schweizer Fintech-Startup lanciert innovative Online-Payment-Plattform,DJPA
05/29/15,DJ pressetext.de: Finanzen: Facebook macht Nutzer risikofreudig - Freunde als trŸgerisches Sicherheitsnetz bei Verlusten fehlinterpretiert,DJPA
05/25/15,Facebook Launches AMBER Alert System in Canada on International Missing Children's Day,CNW
05/25/15,Ontario Amber Alert Program Enhanced,CNW
05/25/15,/R E P E A T -- MEDIA ADVISORY: Facebook Canada and Minister Blaney to announce new Facebook feature to coincide with International Missing Children's Day/,CNW
05/18/15,DJ pressetext.de: Tutorial-Videos auf YouTube gehen durch die Decke - 91 Prozent der mobilen User suchen online nach Anleitungen und Tipps,DJPA
05/15/15,Transifex Again Selected for Facebook's FbStart Program as Localization Platform for Mobile Startups Going Global,INW
05/14/15,DJ pressetext.de: E-Commerce-Angriff: Snapdeal plant Allround-Seite - Verschiedene Dienstleistungen unter einem Dach - Facebook als Vorbild,DJPA
05/11/15,"Facebook to Participate in the J.P. Morgan Technology, Media and Telecom Conference",PRN
05/06/15,IBM and Facebook Team Up to Deliver Personalized Brand Experiences Through People-Based Marketing,PRN
05/06/15,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 11-June-2015 2:00 PM ET",FCSTTS
05/04/15,"Facebook, Inc.(FB-US) Schedules JPMorgan Global Technology, Media and Telecom Conference for 18-May-2015 10:40 AM ET",FCSTTS
05/03/15,DJ pressetext.de: Facebook-Likes taugen als Wahlbarometer - Daten aus Monat vor der Wahl erlauben Sieger-Vorhersage,DJPA
04/22/15,Facebook Reports First Quarter 2015 Results,PRN
04/13/15,DJ pressetext.de: Trendy Instagram: Reiche Kids bel_cheln Facebook - Zwei von drei Jugendlichen betuchter Eltern kein Interesse an Mittelma§,DJPA
04/07/15,WPP's Data Alliance and Facebook Partner Globally to Activate Data to Deliver People Based Marketing Solutions and Insights,PRNE
04/02/15,WhatsApp has Changed the South African Mobile Industry Overnight,PRNA
05/06/15,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 11-June-2015 2:00 PM ET",FCSTTS
05/04/15,"Facebook, Inc.(FB-US) Schedules JPMorgan Global Technology, Media and Telecom Conference for 18-May-2015 10:40 AM ET",FCSTTS
05/03/15,DJ pressetext.de: Facebook-Likes taugen als Wahlbarometer - Daten aus Monat vor der Wahl erlauben Sieger-Vorhersage,DJPA
04/22/15,Facebook Reports First Quarter 2015 Results,PRN
04/13/15,DJ pressetext.de: Trendy Instagram: Reiche Kids bel_cheln Facebook - Zwei von drei Jugendlichen betuchter Eltern kein Interesse an Mittelma§,DJPA
04/07/15,WPP's Data Alliance and Facebook Partner Globally to Activate Data to Deliver People Based Marketing Solutions and Insights,PRNE
04/02/15,WhatsApp has Changed the South African Mobile Industry Overnight,PRNA
04/01/15,"Facebook, Inc.(FB-US) Schedules Q1 2015 Earnings Call for 22-April-2015 5:00 PM ET",FCSTTS
04/01/15,"Facebook, Inc.(FB-US) Schedules Q1 2015 Earnings Release for 22-April-2015 After Market Hours ET",FCSTTS
04/01/15,Facebook to Announce First Quarter 2015 Results,PRN
03/27/15,DJ pressetext.de: Snapchat macht eifersŸchtiger als Facebook - Studie zeigt besonders starke Reaktionen bei Kontakt zu Ex-Partnern,DJPA
03/26/15,DJ pressetext.de: E-Mails entschlŸsseln fŸr jedermann - StartMail sorgt fŸr Aufsehen auf der CeBit - Symmetrische PGP-VerschlŸsselung l_st gravierendes Datenschutzproblem,DJPA
03/25/15,"Facebook Inc (FB: NAS): Analytics, Extensive Financial Metrics, and Benchmarks Against Averages and Top Companies Within its Industry",PRN
03/19/15,"DJ pressetext.de: Facebook-Pause macht Trennungen leichter - Leben des Ex-Partners mitzuverfolgen, ist kontraproduktiv",DJPA
03/17/15,DJ pressetext.de: Klatsche fŸr Paywall: Jugend will kostenlose News - Freier Zugang zu Nachrichten fŸr 85 Prozent ein gesellschaftliches Gut,DJPA
03/02/15,DJ pressetext.de: Social Web ist Attraktivit_ts-Kriterium fŸr Studis - 40 Prozent der Lernenden chatten mit Dozenten und fordern Ausbau,DJPA
03/02/15,DJ pressetext.de: Immer mehr Nutzer von Facebook gelangweilt - Interaktivit_t in Form von Postings und Kommentaren nimmt stark ab,DJPA
02/26/15,World Pistachio Day,PRN
02/26/15,DJ pressetext.de: Soziale Medien bei Journalisten weniger angesagt - Investierte Zeit sinkt - Relevanz insbesondere von Twitter bleibt aber,DJPA
02/25/15,DJ pressetext.de: Neue Facebook-AGB versto§en gegen EU-Recht - DatenschŸtzer: Regeln sind unklar formuliert und Ÿberfordern User,DJPA
02/25/15,DJ newsfox.com: OpenEMM 2015: New Functions for the free E-mail Marketing Software - A new version of the popular OpenEMM software is available,DJPA
02/23/15,"Facebook, Inc.(FB-US) Schedules Morgan Stanley Technology Media & Telecom Conference for 2-March-2015 1:15 PM ET",FCSTTS
02/23/15,"Facebook to Participate in the Morgan Stanley Technology, Media & Telecom Conference",PRN
02/23/15,Post-Earnings Notes - Facebook,PRN
02/04/15,"Facebook, Inc.(FB-US) Schedules Goldman Sachs Technology & Internet Conference for 11-February-2015 1:20 PM ET",FCSTTS
02/04/15,Facebook to Participate in the Goldman Sachs Technology and Internet Conference,PRN
01/30/15,"DJ pressetext.de: Facebook macht Foursquare Konkurrenz - ""Place Tips"" verspricht Infos zur unmittelbaren Umgebung",DJPA
01/28/15,Facebook Reports Fourth Quarter and Full Year 2014 Results,PRN
01/18/15,DJ pressetext.de: Social-Media-Angebot Ÿberfordert Unternehmer - Qualit_t statt Quantit_t: Fokussierung auf Zielgruppen entscheidend,DJPA
01/15/15,MEDIA ADVISORY: Facebook and Tri-Cities Chamber of Commerce to host free workshop for Lower Mainland Small Businesses,CNW
01/08/15,DJ pressetext.de: US-Gesundheitsbranche l_st IPO-Boom aus - Mehr B_rseng_nge und M&A-Deals bei risikokapitalfinanzierten Firmen,DJPA
01/06/15,"Facebook, Inc.(FB-US) Schedules Q4 2014 Earnings Call for 28-January-2015 5:00 PM ET",FCSTTS
01/06/15,"Facebook, Inc.(FB-US) Schedules Q4 2014 Earnings Release for 28-January-2015 After Market Hours ET",FCSTTS
01/06/15,Facebook to Announce Fourth Quarter and Full Year 2014 Results,PRN
12/28/14,"DJ pressetext.de: RŸckblick 2014: ""Snowden-Effekt"" und App-Boom - NSA-Aff_re, Social-Media-Schattenseite, Handy-Sucht und neue Medien",DJPA
12/18/14,"DJ pressetext.de: Facebook wird zu Weihnachten zum Posting-Mekka - Portal Ÿber Festtage besonders beliebt, um GlŸckwŸnsche zu versenden",DJPA
12/17/14,DJ pressetext.de: Facebook-†berdosis treibt Nutzer in die Suchtfalle - Verringerte Impulskontrolle fŸhrt verst_rkt zu Substanzenmissbrauch,DJPA
12/17/14,"DJ pressetext.de: Mit ""lebender Investition"" Ÿber 14,3 Prozent Rendite - in nur einem Jahr - Deutscher Rinder-Direkt-Investor verkauft Rinderherde mit hohem Gewinn zur Freude der Investoren",DJPA
12/14/14,"DJ pressetext.de: Trotz sinkender Zahlen: Social Media noch nicht tot - Wachstum in Europa - RŸckgang in England, den USA, Japan und China",DJPA
12/11/14,The Boom of Messaging Apps: Profit Potential With Prospective WhatsApp Successor,PMZ
12/03/14,ESET Online Scanner Is Now Available Through Facebook,PRN
12/03/14,DJ pressetext.de: ESET unterstŸtzt Facebook-Initiative mit kostenlosem Virenscanner - ESET Online Scanner fŸr Facebook schŸtzt Anwender kostenlos vor Malware,DJPA
11/28/14,Issa Asad Answers Questions About Cause Marketing on Facebook While Apple Donates Part of Its Holiday Sales to Fight AIDS,PRN
11/25/14,"Facebook, Inc.(FB-US) Schedules Credit Suisse Technology Conference for 2-December-2014 12:30 PM ET",FCSTTS
11/25/14,Facebook to Participate in the Credit Suisse Technology Conference,PRN
11/20/14,"Facebook Inc (FB: NAS): Analytics, Extensive Financial Metrics, and Benchmarks Against Averages and Top Companies Within its Industry",PRN
11/19/14,Facebook Drivers Vote To Join Teamsters,PRN
11/18/14,Discover Job Opportunities Through Facebook Friends at Jobstore.com,PRN
11/13/14,Dealer Expo Announces Facebook Program at the Dealernews National Retail Conference,PRN
11/06/14,"DJ pressetext.de: StartPage.com - Durch Google die besten Resultate unter Datenschutzsuchmaschinen - Man muss nicht das Rad neu erfinden, sondern das Bestehende verbessern",DJPA
11/05/14,"DJ pressetext.de: Sechs verschiedene ""Facebook-Killer"" identifiziert - 48 Mordf_lle untersucht, in denen das soziale Netzwerk relevant war",DJPA
11/03/14,DJ pressetext.de: User suchen im Sp_tsommer verst_rkt nach Reisen - 37 Prozent der Inhalte werden bereits Ÿber mobile Endger_te abgerufen,DJPA
11/02/14,DJ pressetext.de: Social Media kann HIV eind_mmen - In den USA ist Data-Mining fŸr die _ffentliche Gesundheit angedacht,DJPA
10/30/14,DJ pressetext.de: Facebook-Code beeinflusst Nachrichtenkonsum - Jeder dritte US-BŸrger bezieht seine News bereits Ÿber eigenen Feed,DJPA
10/28/14,Facebook Reports Third Quarter 2014 Results,PRN
10/24/14,5 Ways to Optimize Your Company's Facebook Ads,PRN
10/22/14,DJ pressetext.de: Asien: Social Media ist fŸr Reisende ein Muss - Urlauber nutzen Facebook und Co bis zu vier Stunden t_glich,DJPA
10/15/14,DJ pressetext.de: Einsame Menschen flŸchten auf Facebook - Online-Kommunikation ist laut Experte nicht schlechter als reale,DJPA
10/09/14,DJ pressetext.de: iPhone-vernarrte Jugend verzichtet auf Facebook - Foto-Networks besonders beliebt - Apple-Smartphone als Statussymbol,DJPA
10/08/14,DJ pressetext.de: Datenriesen sammeln auch Infos von Nicht-Nutzern - Pers_nliches wie sexuelle Orientierung l_sst sich problemlos bestimmen,DJPA
10/06/14,Facebook Announces Employment Inducement Grants,NEWS_CR
10/02/14,DJ pressetext.de: Blogs fŸr US-Unternehmen zunehmend irrelevant - Kommunikationsplattformen wie Pinterest und Foursquare im Trend,DJPA
10/02/14,"Facebook, Inc.(FB-US) Schedules Q3 2014 Earnings Call for 28-October-2014 5:00 PM ET",FCSTTS
10/02/14,"Facebook, Inc.(FB-US) Schedules Q3 2014 Earnings Release for 28-October-2014 After Market Hours ET",FCSTTS
10/02/14,Facebook to Announce Third Quarter 2014 Results,PRN
10/01/14,"DJ pressetext.de: ""Twilight""-Saga: Fortsetzung exklusiv auf Facebook - Wettbewerb ermittelt Regisseurinnen fŸr fŸnfteilige Kurzfilmserie",DJPA
09/24/14,Facebook's Christian Martinez and Award-Winning Actor Luis Guzman Headline National Advisory Board of Hispanicize 2015,PMZ
09/19/14,DJ pressetext.de: Bel_stigung von Frauen im Social Web tabuisiert - Aktivisten fordern deutlich mehr Transparenz zum Schutz der Nutzer,DJPA
09/18/14,"DJ pressetext.de: ""Memoir"": Neue App sieht Foto-Sharing voraus - Soziale Netzwerke mŸssen laut Experten jedoch mehr Neues bieten",DJPA
09/16/14,DJ pressetext.de: Promotion: Social Web fŸr US-KMUs unentbehrlich - Jedes zweite Unternehmen verfŸgt Ÿber eigene Facebook-Repr_sentanz,DJPA
08/14/14,DJ pressetext.de: Facebook trackt Werbewirkung auf allen Ger_ten - Neue Messtechnik bietet verbesserte Chancen fŸr Anbieter-Strategien,DJPA
07/31/14,DJ pressetext.de: Social Media lenkt Briten von der Arbeit ab - Deutsche liegen auf Platz zwei der Hitliste der Widerspenstigen,DJPA
07/29/14,"Allied Asia Pacific Developed Facebook Crowdsourcing Service ""ReFUEL4,"" Now API Partners of Facebook Advertising; Partnership Pact with Nanigans",PRN
07/23/14,Facebook Reports Second Quarter 2014 Results,PRN
07/22/14,"DJ pressetext.de: ""Xpire"": App l_scht pers_nlichen Social-Media-MŸll - Gepostete Peinlichkeiten sollen Chancen in Arbeitswelt nicht schm_lern",DJPA
07/15/14,DJ pressetext.de: Onlinezone launcht NFC-Kundenbonuskarten-System - Smartphone wird zum Karten-Leseger_t,DJPA
07/02/14,Facebook to Acquire LiveRail,NEWS_CR
07/01/14,"Facebook, Inc.(FB-US) Schedules Q2 2014 Earnings Release for 23-July-2014 After Market Hours ET",FCSTTS
07/01/14,"Facebook, Inc.(FB-US) Schedules Q2 2014 Earnings Call for 23-July-2014 5:00 PM ET",FCSTTS
07/01/14,Facebook to Announce Second Quarter 2014 Results,PRN
06/20/14,DJ pressetext.de: WM-Chat: Facebook bleibt weiter unangefochten - Jeder zweite US-Fu§ballfan kommentiert auf dem Zuckerberg-Portal,DJPA
05/30/14,Live Nation Entertainment Partners With Facebook¨ To Launch Official Events,PRN
05/27/14,DJ pressetext.de: Weiteres Wachstum bei Twitter unwahrscheinlich - Steigerung aktuell bei 24 Prozent - 2018 nur noch bei zehn Prozent,DJPA
05/23/14,Facebook Weekly Highlights,NEWS_CR
05/22/14,Making It Easier to Share With Who You Want,NEWS_CR
05/21/14,"A New, Optional Way to Share and Discover Music, TV and Movies",NEWS_CR
05/20/14,"New Facebook, F-Secure Partnership: Malware Cleanup Goes Social",INW
05/19/14,"Stock Price Movements, Financial Results, and Upcoming Investors Conferences - Analyst Notes on Facebook, Google, LinkedIn, Yelp and Trulia",PRN
05/17/14,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 22-May-2014 2:00 PM ET",FCSTEV
05/16/14,Americans wary of private messaging on social media: 57% think social media bad method for privacy,PRN
05/16/14,"Active Stocks Pre-Market Notes -- Research on Bank of America, Facebook, General Electric, and Petroleo Brasileiro",PRN
05/15/14,"Global Footprints, Stock Prices Updates, New Partnerships, Acquisitions, and Upcoming Events - Analyst Notes on Facebook, Microsoft, AT&T, Verizon and Micron",PRN
05/14/14,Appurify offers free mobile testing tools to FbStart developers,PRN
05/14/14,Facebook Announces Updates to New FbStart Program,PRN
05/09/14,Facebook Weekly Highlights,NEWS_CR
05/09/14,Nassiri & Jung Obtains Favorable Ninth Circuit Ruling Allowing Facebook Users to Proceed With Claims for Breach of Privacy Policies,BW
05/09/14,DJ pressetext.de: Neue Smartphone-Cam l_st digitale Fotoapparate ab - Leichtgewichtige Zwei-Linsen-Technologie erm_glicht Qualit_tssprung,DJPA
05/07/14,Neumate Finds Facebook's New Policies Damaging to Users and Advertisers,PRN
05/07/14,DJ pressetext.de: Norwegische Armee testet Panzer mit VR-Brillen - Oculus Rift erlaubt 360-Grad-Rundumblick ohne Luke zu _ffnen,DJPA
05/06/14,"DJ pressetext.de: Social Media: Redefreiheit durch anonyme Apps - User nutzen ""Secret"" und Co statt Facebook fŸr heikle Postings",DJPA
05/06/14,Facebook Launches Facebook Fit Boot Camps to Help Small Businesses Achieve Success,BW
05/02/14,Facebook Weekly Highlights,NEWS_CR
04/30/14,UserTesting Chosen by Facebook as FbStart Launch Partner,PRN
04/30/14,f8 2014: Stability for Developers & More Control for People,NEWS_CR
04/30/14,f8: Introducing Anonymous Login and an Updated Facebook Login,NEWS_CR
04/30/14,Introducing Anonymous Login and an Updated Facebook Login,NEWS_CR
04/24/14,"Announcing FB Newswire, Powered by Storyful",NEWS_CR
04/23/14,Facebook Reports First Quarter 2014 Results,PRN
04/18/14,Facebook Weekly Highlights,NEWS_CR
04/17/14,PocketCake Moves Towards Next Frontier with Introduction of Virtual Reality to Architectural Firms Using the Oculus Rift,PRN
04/16/14,"DJ pressetext.de: Neue Facebook-Freunde als Beziehungskiller - Wer sein Social Network erweitert, ist Partner nicht so verbunden",DJPA
04/15/14,"DJ pressetext.de: Facebook unter Jugendlichen zunehmend out - Plattformen wie Instagram, Twitter, Snapchat oder Vine im Kommen",DJPA
04/10/14,Likeable Media Releases Guide to Reclaiming Reach on Facebook,PMZ
04/09/14,Facebook Sued Over Interception of Private Messages,PRN
04/09/14,"DJ pressetext.de: Sinnloses Facebooken macht User depressiv - Negative Emotionen treten nicht beim ""unsozialen"" Surfen im Web auf",DJPA
04/08/14,2014 NCAA Tournament on Facebook,NEWS_CR
04/02/14,DJ pressetext.de: Facebook und Co bei vielen Nutzern unbeliebt - Kreditinstitute und Hotels weisen h_here Kundenzufriedenheit auf,DJPA
04/01/14,"Facebook, Inc.(FB-US) Schedules Q1 2014 Earnings Call for 23-April-2014 5:00 PM ET",FCSTTS
04/01/14,"Facebook, Inc.(FB-US) Schedules Q1 2014 Earnings Release for 23-April-2014 After Market Hours ET",FCSTTS
04/01/14,Facebook to Announce First Quarter 2014 Results,PRN
04/01/14,DJ pressetext.de: Jeder dritte US-BŸrger liest News Ÿber Facebook - 64 Prozent der Erwachsenen sind regelm_§ig auf der Plattform aktiv,DJPA
03/31/14,ECJ Assists International Client with Facebook Agreement,PRN
03/31/14, Facebook Betting Heavily on Virtual Reality ,NEWS_ACW
03/26/14,Facebook to Acquire Oculus,NEWS_CR
03/26/14,"Infinity Augmented Reality, Inc. Encouraged by Facebook Acquisition of Oculus VR for $2 Billion",INW
03/25/14,"Facebook, Inc.(FB-US) Schedules Acquisition of Oculus VR Inc by Facebook Inc Call for 25-March-2014 6:15 PM ET",FCSTTS
03/25/14,Facebook to Acquire Oculus,PRN
03/25/14,Eye Matters: Facebook Page Rolls Out as a Book,CNW
03/20/14,"As Facebook Rolls Out Video Ads, Companies Like Modulates.com Are Revolutionizing Video Affiliate Marketing",INW
03/14/14,DJ pressetext.de: USA: Snapchat ŸberflŸgelt bei der Jugend Twitter - Foto-Dienste legen deutlich zu - Facebook bleibt klare Nummer eins,DJPA
03/12/14,DJ pressetext.de: Techriese Tencent schafft dritth_chsten B_rsenwert - Chinas gr_§ter Internetkonzern bereits mit Ÿber 150 Mrd. Dollar bewertet,DJPA
03/12/14,DJ pressetext.de: Weltall: Studie mit Astronauten-Zwillingen geplant - NASA-Projekt analysiert Folgen der Schwerelosigkeit auf die Gesundheit,DJPA
03/11/14,"DJ pressetext.de: Facebook: Frauen sozial, M_nner wollen Karriere - Beziehungspflege oft im Gegensatz zu professionellem Networking",DJPA
03/06/14,Mondelez International Partners with Facebook,PRN
03/05/14,"Moms Demand Action Applauds Major Moves by Facebook, Instagram to Prevent Illegal Gun Sales on Their Sites",PRN
03/05/14,Community Association Services of Indiana Launches Facebook Trivia Contest,BW
03/04/14,The Future of the Entire OTT Ecosystem at Monetising OTT Services,PRN
