NKTRdate,NKTRnews,NKTRsource
11/09/18,Robbins Arroyo LLP: Nektar Therapeutics (NKTR) Misled Shareholders According to Class Action,BW
11/09/18,Nektar Therapeutics Presents New Clinical and Preclinical Data for its Immuno-Oncology Pipeline at the 2018 Society for Immunotherapy of Cancer (SITC) Annual Meeting,PRN
11/09/18,"Kessler Topaz Meltzer & Check, LLP:  Securities Fraud Class Action Filed Against Nektar Therapeutics - NKTR",PRN
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P418 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P364 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P422 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P424 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P419 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P368 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P557 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P378 for 9-November-2018 8:00 AM ET,FCSTEV
11/09/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P348 for 9-November-2018 8:00 AM ET,FCSTEV
11/08/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P419 for 9-November-2018,FCSTEV
11/08/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of COCP, SFIX, CWH, HON, NKTR and SYF",PMZ
11/08/18,"Kessler Topaz Meltzer & Check, LLP - Reminds Investors of Securities Fraud Class Action Lawsuit Against Nektar Therapeutics",BW
11/07/18,Nektar Therapeutics Reports Financial Results for the Third Quarter of 2018,PRN
11/06/18,"Kessler Topaz Meltzer & Check, LLP Announces a Securities Fraud Class Action Filed Against Nektar Therapeutics",PMZ
11/06/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of TRVN, HON, OZK and NKTR",PMZ
11/06/18,NKTR LOSS ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Nektar Therapeutics; Important Deadline - NKTR,PMZ
11/06/18,"New Clinical Oncology Collaboration Between Nektar and Pfizer to Evaluate Combination of NKTR-214, a CD122-Biased Agonist, with Avelumab and Talazoparib or Enzalutamide in Multiple Cancers",PRN
11/06/18,Nektar Therapeutics to Host Webcast Conference Call with Melanoma Specialists for Analysts & Investors During 2018 Society for Immunotherapy of Cancer 33rd Annual Meeting,PRN
11/05/18,"INVESTOR ACTION NOTICE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Nektar Therapeutics and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",PMZ
11/05/18,SHAREHOLDER ALERT: PVG USAT COCP JT GOOG OZK NKTR FIT: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
11/04/18,"CLASS ACTION UPDATE for HON, DY, NKTR and FIT: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
11/04/18,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Nektar Therapeutics, Inc. of Class Action Lawsuit and Upcoming Deadline - NKTR",PMZ
10/31/18,Gainey McKenna & Egleston Announces A Class Action Lawsuit Has Been Filed Against Nektar Therapeutics (NKTR),PMZ
10/31/18,"CLASS ACTION UPDATE for TGTX, HAS and NKTR: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
10/31/18,SOFTHALE NV annonce un nouveau membre de son conseil d'administration,PRNE
10/31/18,SOFTHALE NV gibt neues Vorstandsmitglied bekannt,PRNE
10/30/18,EQUITY ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Nektar Therapeutics - NKTR,BW
10/30/18,"Pomerantz Law Firm Announces the Filing of a Class Action against Nektar Therapeutics, Inc. and Certain Officers - NKTR",PMZ
10/30/18,Nektar Therapeutics(NKTR-US) Schedules Q3 2018 Earnings Call for 7-November-2018 5:00 PM ET,FCSTEV
10/30/18,Nektar Therapeutics(NKTR-US) Schedules Q3 2018 Earnings Release for 7-November-2018 4:10 PM ET,FCSTEV
10/30/18,"Nektar to Announce Financial Results for the Third Quarter 2018 on Wednesday, November 7, 2018, After Close of U.S.-Based Financial Markets",PRN
10/23/18,Nektar Therapeutics(NKTR-US) Schedules TraceLink Futurelink Conference for 6-November-2018,FCSTEV
10/12/18,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Nektar Therapeutics - NKTR,PMZ
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P348 for 10-November-2018 9:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P424 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P378 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P422 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P368 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P419 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P364 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P418 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract: #O4 for 9-November-2018 5:05 PM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P348 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract P557 for 10-November-2018 8:00 AM ET,FCSTEV
10/05/18,Nektar Therapeutics(NKTR-US) Schedules American Pharmacometrics Conference for 6-October-2018,FCSTEV
10/03/18,Nektar Therapeutics (NKTR) Investigated by Block & Leviton LLP For Violations of Federal Securities Laws,PRN
10/02/18,Nektar Therapeutics Announces Ten Abstracts Accepted for Presentation at the 2018 Society for Immunotherapy of Cancer (SITC) Annual Meeting,PRN
10/01/18,Nektar Therapeutics Strengthens Board of Directors with Appointment of Veteran Biotechnology Executive Karin Eastham,PRN
09/26/18,Nektar Therapeutics(NKTR-US) Schedules SMI Immuno Oncology Conference for 26-September-2018 6:00 AM ET,FCSTEV
09/24/18,BioXcel Therapeutics Expands Immuno-Oncology Partnership with Nektar into Clinical Development in Pancreatic Cancer,PMZ
08/31/18,"Market Trends Toward New Normal in Caesars Entertainment, Nektar Therapeutics, Boston Scientific, Apollo Commercial Real Estate Finance, Kellogg, and Foot Locker - Emerging Consolidated Expectations, Analyst Ratings",PMZ
08/16/18,Nektar Therapeutics(NKTR-US) Schedules Morgan Stanley Global Health Care Conference for 12-September-2018 8:45 AM ET,FCSTEV
08/08/18,Nektar Therapeutics(NKTR-US) Schedules European Society for Medical Oncology Meeting - Poster #446TiP for 22-October-2018 6:45 AM ET,FCSTEV
08/08/18,Nektar Therapeutics(NKTR-US) Schedules American Chemical Society Meeting for 20-August-2018 1:35 PM ET,FCSTEV
08/08/18,Nektar Therapeutics(NKTR-US) Schedules European Society for Medical Oncology Meeting - Poster #362TiP for 22-October-2018 6:45 AM ET,FCSTEV
08/08/18,Nektar Therapeutics Reports Financial Results for the Second Quarter of 2018,PRN
08/01/18,Nektar Therapeutics(NKTR-US) Schedules Q2 2018 Earnings Release for 8-August-2018 4:10 PM ET,FCSTEV
08/01/18,Nektar Therapeutics(NKTR-US) Schedules Q2 2018 Earnings Call for 8-August-2018 5:00 PM ET,FCSTEV
08/01/18,"Nektar to Announce Financial Results for the Second Quarter 2018 on Wednesday, August 8, 2018, After Close of U.S.-Based Financial Markets",PRN
07/31/18,Specialty Oncology Drugs One of the Top Markets Generating Most Growth,PRN
07/30/18,Nektar Therapeutics Announces New Drug Application for NKTR-181 Accepted for Review by FDA,PRN
07/26/18,"Investor Expectations to Drive Momentum within Fidelity Southern, Nektar Therapeutics, CSG Systems International, Ellington Financial, NBT, and Paylocity Holding - Discovering Underlying Factors of Influence",PMZ
06/26/18,IsoPlexis Announces Research Collaboration with Nektar Therapeutics,PRN
06/14/18,"New Data for NKTR-181, a First-in-Class Investigational Opioid to Treat Chronic Low Back Pain in Adult Patients New to Opioid Therapy, Presented at College on Problems of Drug Dependence 80th Annual Scientific Meeting",PRN
06/13/18,Nektar Therapeutics(NKTR-US) Schedules William Blair Growth Stock Conference for 13-June-2018 9:40 AM ET,FCSTEV
06/05/18,Nektar Therapeutics(NKTR-US) Schedules Jefferies Global Healthcare Conference for 6-June-2018 3:00 PM ET,FCSTEV
06/05/18,Nektar to Webcast Presentation at the Jefferies 2018 Healthcare Conference in New York,PRN
06/04/18,"BioXcel Therapeutics and Nektar Therapeutics Present Preclinical Pancreatic Cancer Data for BXCL701, NKTR-214 and Anti-PD1 Combination Therapy at ASCO 2018 Annual Meeting",PMZ
06/02/18,"Preliminary Data for NKTR-214 in Combination with Opdivo (nivolumab) for Patients with Stage IV Metastatic Melanoma, Renal Cell Carcinoma, and Urothelial Cancers Presented at ASCO 2018",PRN
05/31/18,"Nektar Therapeutics Announces Submission of a New Drug Application to the U.S. FDA for NKTR-181, a First-in-Class Investigational Opioid to Treat Chronic Low Back Pain in Adult Patients New to Opioid Therapy",PRN
05/30/18,Syndax and Nektar Therapeutics Announce Immuno-Oncology Clinical Trial Collaboration,PRN
05/18/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract: #3006 for 2-June-2018 6:00 PM ET,FCSTEV
05/18/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #2567 for 4-June-2018 9:00 AM ET,FCSTEV
05/18/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract # 3006 for 2-June-2018 6:00 PM ET,FCSTEV
05/17/18,BioXcel Therapeutics Announces Data Presentation at ASCO 2018 Annual Meeting,PMZ
05/16/18,Nektar Therapeutics Announces Six Abstracts Accepted for Presentation at the 2018 American Society of Clinical Oncology (ASCO) Annual Meeting,PRN
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #TPS3115 for 4-June-2018 9:00 AM ET,FCSTEV
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #TPS1111 for 2-June-2018 9:00 AM ET,FCSTEV
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #2567 for 4-June-2018 9:00 AM ET,FCSTEV
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #5582 for 4-June-2018 2:15 PM ET,FCSTEV
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #3006 for 2-June-2018 4:00 PM ET,FCSTEV
05/10/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #3085 for 4-June-2018 9:00 AM ET,FCSTEV
05/10/18,Nektar Therapeutics Reports Financial Results for the First Quarter of 2018,PRN
05/08/18,"Nektar Therapeutics Announces Initiation of a Phase 1b Clinical Study of NKTR-358, a First-in-Class Regulatory T Cell Stimulator, in Patients with Systemic Lupus Erythematosus",PRN
05/03/18,Nektar Therapeutics(NKTR-US) Schedules Q1 2018 Earnings Call for 10-May-2018 5:00 PM ET,FCSTEV
05/03/18,Nektar Therapeutics(NKTR-US) Schedules Q1 2018 Earnings Release for 10-May-2018 4:10 PM ET,FCSTEV
05/03/18,"Nektar to Announce Financial Results for the First Quarter 2018 on Thursday, May 10, 2018, After Close of U.S.-Based Financial Markets",PRN
05/02/18,Nektar Therapeutics(NKTR-US) Schedules Annual General Meeting for 26-June-2018 2:00 PM ET,FCSTEV
05/01/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - NKTR-214 for 2-June-2018 6:00 PM ET,FCSTEV
04/30/18,Nektar Therapeutics to Host Analyst & Investor Event at 2018 ASCO Annual Meeting,PRN
04/24/18,"New Oncology Clinical Collaboration between Nektar and Takeda to Evaluate Combination of NKTR-214, a CD122-biased Agonist, and TAK-659, a Dual SYK and FLT-3 Inhibitor, in Liquid and Solid Tumors",PRN
04/18/18,"Free Research Reports on These Biotech Stocks -- Moleculin Biotech, MyoKardia, Nektar Therapeutics, and Novavax",PRN
04/15/18,Nektar Therapeutics Presents New Preclinical Data for its Immuno-Oncology Programs at the American Association for Cancer Research (AACR) Annual Meeting 2018,PRN
04/11/18,Nektar Announces Dosing of First Patient in Phase 1/2 Clinical Study to Evaluate Combination of TLR Agonist NKTR-262 with CD122-Biased Agonist NKTR-214 in Patients with Advanced Solid Tumors,PRN
04/10/18,Nektar Therapeutics(NKTR-US) Schedules Deutsche Bank Health Care Conference for 8-May-2018 8:40 AM ET,FCSTEV
04/03/18,Nektar Therapeutics Announces Effective Date of Global Development & Commercialization Collaboration with Bristol-Myers Squibb,PRN
04/03/18,Nektar Therapeutics(NKTR-US) Schedules William Blair & Company Cancer Immunotherapy Conference - Panel for 4-April-2018 11:35 AM ET,FCSTEV
03/09/18,"Take-Two Interactive Software, SVB Financial and Nektar Pharmaceuticals Set to Join S&P 500; Others to Join S&P MidCap 400 and S&P SmallCap 600",PRN
03/07/18,Nektar Therapeutics(NKTR-US) Schedules Cowen & Co. Health Care Conference for 14-March-2018 8:00 AM ET,FCSTEV
03/07/18,Nektar to Webcast Presentation at the Cowen and Company 38th Annual Health Care Conference in Boston,PRN
03/06/18,Nektar Therapeutics(NKTR-US) Schedules Advances in Immuno-Oncology Congress for 24-May-2018 12:40 PM ET,FCSTEV
03/06/18,Nektar Therapeutics(NKTR-US) Schedules American Academy of Pain Medicine Meeting for 27-April-2018 9:00 PM ET,FCSTEV
03/02/18,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract - 3755 for 17-April-2018 9:00 AM ET,FCSTEV
03/02/18,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract - 2755 for 16-April-2018 2:00 PM ET,FCSTEV
03/02/18,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract - 123 for 15-April-2018 2:00 PM ET,FCSTEV
03/02/18,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract - 3566 for 17-April-2018 9:00 AM ET,FCSTEV
03/01/18,Nektar Therapeutics Reports Fourth Quarter and Year-End 2017 Financial Results,PRN
03/01/18,Nektar Therapeutics to Host Earnings Call,NEWS_ACW
02/21/18,Nektar Therapeutics(NKTR-US) Schedules Q4 2017 Earnings Call for 1-March-2018 5:00 PM ET,FCSTEV
02/21/18,Nektar Therapeutics(NKTR-US) Schedules Q4 2017 Earnings Release for 1-March-2018 4:10 PM ET,FCSTEV
02/21/18,"Nektar to Announce Financial Results for the Fourth Quarter and Year-Ended 2017 on Thursday, March 1, 2018, After Close of U.S.-Based Financial Markets",PRN
02/15/18,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting for 14-April-2018,FCSTEV
02/15/18,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract #3755 for 2-June-2018 7:45 PM ET,FCSTEV
02/14/18,Nektar Therapeutics(NKTR-US) Schedules NKTR-214 Plus Opdivo Update Call for 14-February-2018 8:00 AM ET,FCSTEV
02/14/18,"Bristol-Myers Squibb and Nektar Therapeutics Announce Global Development & Commercialization Collaboration for Nektar's CD122-biased Agonist, NKTR-214",BW
01/03/18,Nektar Therapeutics(NKTR-US) Schedules J.P. Morgan Health Care Conference for 9-January-2018 2:00 PM ET,FCSTEV
01/03/18,Nektar Therapeutics(NKTR-US) Schedules J.P. Morgan Health Care Conference - Q&A Session for 9-January-2018 2:30 PM ET,FCSTEV
01/03/18,"Nektar Therapeutics' President and CEO, Howard Robin, To Present at the 36th Annual J.P. Morgan Healthcare Conference in San Francisco, CA",PRN
12/20/17,Loncar Cancer Immunotherapy Index Conducts Semi-Annual Rebalance,BW
11/27/17,Nektar Therapeutics(NKTR-US) Schedules Piper Jaffray Health Care Conference for 28-November-2017 5:10 PM ET,FCSTEV
11/27/17,Nektar to Webcast Presentation at the Piper Jaffray 29th Annual Healthcare Conference in New York City,PRN
11/22/17,Nektar Announces Key Executive Promotions to Drive the Continued Growth of the Company's Immuno-Oncology Pipeline,PRN
11/12/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting for 12-November-2017 6:15 AM ET,FCSTEV
11/11/17,"First Data for NKTR-214 in Combination with OPDIVO¬ (nivolumab) for Patients with Stage IV Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers, Including Patients with PD-L1 Negative Status, Revealed at SITC 2017",PRN
11/11/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting for 11-November-2017 5:00 PM ET,FCSTEV
11/11/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P140 for 11-November-2017 12:30 PM ET,FCSTEV
11/11/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P434 for 11-November-2017 12:30 PM ET,FCSTEV
11/11/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P332 for 11-November-2017 12:30 PM ET,FCSTEV
11/11/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P274 for 11-November-2017 12:30 PM ET,FCSTEV
11/10/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P275 for 10-November-2017 12:30 PM ET,FCSTEV
11/10/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P77 for 10-November-2017 12:30 PM ET,FCSTEV
11/10/17,Nektar Therapeutics(NKTR-US) Schedules Jefferies London Health Care Conference for 15-November-2017 5:00 AM ET,FCSTEV
11/10/17,Nektar to Webcast Presentation at Jefferies 2017 London Healthcare Conference,PRN
11/07/17,Nektar Therapeutics Reports Financial Results for the Third Quarter of 2017,PRN
11/07/17,Nektar Therapeutics(NKTR-US) Schedules American College of Rheumatology Meeting - Abstract 2715 for 7-November-2017 12:00 PM ET,FCSTEV
11/07/17,New Data Featuring Nektar Therapeutics' Wholly-Owned Immuno-Oncology Pipeline to be Presented at the 2017 Society for Immunotherapy of Cancer 32nd Annual Meeting,PRN
11/07/17,"Nektar Therapeutics Presents Preclinical Data on NKTR-358, a First-in-Class Regulatory T Cell Stimulator, at 2017 American College of Rheumatology Annual Meeting",PRN
11/01/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting for 11-November-2017 6:15 PM ET,FCSTEV
11/01/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #P434 for 1-November-2017 12:30 PM ET,FCSTEV
10/31/17,Nektar Therapeutics(NKTR-US) Schedules Q3 2017 Earnings Call for 7-November-2017 5:00 PM ET,FCSTEV
10/31/17,Nektar Therapeutics(NKTR-US) Schedules Q3 2017 Earnings Release for 7-November-2017 4:10 PM ET,FCSTEV
10/31/17,"Nektar to Announce Financial Results for the Third Quarter of 2017 on Tuesday, November 7, 2017, After Close of U.S.-Based Financial Markets",PRN
09/21/17,Nektar Therapeutics Appoints Biotechnology Executive Jeff Ajer as New Board Member,PRN
09/21/17,Nektar Therapeutics(NKTR-US) Schedules Society for Immunotherapy of Cancer Meeting - Abstract #PIVOT-02 for 11-November-2017 3:30 PM ET,FCSTEV
09/20/17,Nektar Therapeutics Announces Seven Abstracts Accepted for Presentation at 2017 Society for Immunotherapy of Cancer (SITC) 32nd Annual Meeting,PRN
09/12/17,"Nektar Therapeutics Initiates PROPEL Clinical Study to Evaluate Combination of NKTR-214, a CD122-Biased Agonist, with TECENTRIQ¬ (atezolizumab) or KEYTRUDA¬ (pembrolizumab)",PRN
09/09/17,Nektar Therapeutics(NKTR-US) Schedules European Society for Medical Oncology Congress for 9-September-2017 7:15 AM ET,FCSTEV
09/06/17,"Nektar Therapeutics Presents Clinical Data from Phase 3 SUMMIT-07 Study of NKTR-181, a First-in-Class Investigational Opioid to Treat Chronic Pain, at 2017 PAINWeek¬",PRN
09/06/17,Nektar Therapeutics(NKTR-US) Schedules Morgan Stanley Global Healthcare Conference for 12-September-2017 12:55 PM ET,FCSTEV
09/06/17,"Nektar Therapeutics' President and CEO, Howard W. Robin, To Present at the 2017 Morgan Stanley Global Healthcare Conference in New York City",PRN
08/30/17,"Nektar Therapeutics to Present Clinical Data from Phase 3 SUMMIT-07 Study of NKTR-181, a First-in-Class Investigational Opioid to Treat Chronic Pain, at PAINWeek¬",PRN
08/08/17,Nektar Therapeutics Reports Financial Results for the Second Quarter of 2017,PRN
08/08/17,Investor Network: Nektar Therapeutics to Host Earnings Call,NEWS_ACW
08/02/17,Nektar Therapeutics(NKTR-US) Schedules Q2 2017 Earnings Call for 8-August-2017 5:00 PM ET,FCSTEV
08/02/17,Nektar Therapeutics(NKTR-US) Schedules Q2 2017 Earnings Release for 8-August-2017 4:10 PM ET,FCSTEV
08/02/17,"Nektar to Announce Financial Results for the Second Quarter of 2017 on Tuesday, August 8, 2017, After Close of U.S.-Based Financial Markets",PRN
07/24/17,"Lilly and Nektar Therapeutics Announce Alliance to Develop and Commercialize NKTR-358, A Novel Autoimmune Therapy",PRN
07/18/17,Nektar Therapeutics(NKTR-US) Schedules NKTR-181 Human Abuse Potential Study Results Call for 18-July-2017 8:45 AM ET,FCSTEV
07/18/17,"Nektar Announces Topline Data from Human Abuse Potential Study for NKTR-181, a First-in-Class Investigational Opioid to Treat Chronic Pain",PRN
07/10/17,"Nektar Presents New Preclinical Data for NKTR-358, a First-in-Class Regulatory T Cell Stimulator, at 13th World Congress of Inflammation in London",PRN
06/13/17,Nektar Therapeutics(NKTR-US) Schedules Annual General Meeting for 14-June-2017,FCSTEV
06/06/17,Nektar Therapeutics(NKTR-US) Schedules Jefferies Global Health Care Conference for 7-June-2017 9:30 AM ET,FCSTEV
06/06/17,Nektar to Webcast Presentation at Jefferies 2017 Global Healthcare Conference in New York City,PRN
06/05/17,"Nektar Presents New Clinical Data from Two Studies of NKTR-214, a CD122-Biased Agonist, at 2017 American Society of Clinical Oncology (ASCO) Annual Meeting",PRN
05/22/17,"New Research Collaboration between Nektar and Takeda to Explore Combination Cancer Therapy Approaches with NKTR-214, a CD122-Biased Agonist, and Five Takeda Cancer Therapy Compounds",PRN
05/18/17,Nektar Therapeutics Announces Data Presentations at ASCO 2017,PRN
05/15/17,Nektar Therapeutics(NKTR-US) Schedules UBS Global Health Care Conference for 22-May-2017 1:30 PM ET,FCSTEV
05/15/17,Nektar to Webcast Presentation at UBS Global Healthcare Conference 2017 in New York,PRN
05/09/17,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract TPS1120 for 4-June-2017 9:00 AM ET,FCSTEV
05/09/17,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract 2545 for 5-June-2017 9:00 AM ET,FCSTEV
05/09/17,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract# e14040 for 4-June-2017,FCSTEV
05/09/17,Nektar Therapeutics Reports Financial Results for the First Quarter of 2017,PRN
05/09/17,Investor Network: Nektar Therapeutics to Host Earnings Call,NEWS_ACW
05/03/17,"Nektar Appoints Brian L. Kotzin, M.D. as Head of Clinical Development for Nektar's Immunology Program",PRN
05/02/17,Nektar Therapeutics(NKTR-US) Schedules Q1 2017 Earnings Release for 9-May-2017 4:10 PM ET,FCSTEV
05/02/17,"Nektar to Announce Financial Results for the First Quarter of 2017 on Tuesday, May 9, 2017, After Close of U.S.-Based Financial Markets",PRN
04/20/17,Nektar Therapeutics(NKTR-US) Schedules American Society of Clinical Oncology Meeting - Abstract e14040 for 3-June-2017 7:00 PM ET,FCSTEV
04/20/17,Nektar Therapeutics to Host Analyst & Investor Event at 2017 ASCO Annual Meeting,PRN
04/10/17,Today's Research Reports on Biotech Stocks to Watch: Nektar Therapeutics and Clovis Oncology,NEWS_ACW
04/04/17,Nektar Therapeutics Presents New Preclinical Data for its Immuno-Oncology Programs at the American Association for Cancer Research (AACR) Annual Meeting,PRN
03/27/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 1603 for 3-April-2017 8:00 AM ET,FCSTEV
03/27/17,"Nektar Therapeutics Initiates Clinical Study of NKTR-358, a First-in-Class Regulatory T Cell Stimulator, Being Developed for the Treatment of Immune and Inflammatory Disorders",PRN
03/21/17,Stocks of Nektar Therapeutics and CytomX Therapeutics Rise on FDA Trial News,NEWS_ACW
03/20/17,Nektar Therapeutics(NKTR-US) Schedules NKTR-181 Phase 3 Study Results Call for 20-March-2017 8:45 AM ET,FCSTEV
03/20/17,NKTR-181 Meets Primary and Secondary Endpoints in Phase 3 SUMMIT-07 Study in Chronic Pain,PRN
03/14/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 2671 for 3-April-2017 1:00 PM ET,FCSTEV
03/14/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 1603 for 3-April-2017 8:00 AM ET,FCSTEV
03/14/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 1604 for 3-April-2017 8:00 AM ET,FCSTEV
03/14/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 1617 for 3-April-2017 8:00 AM ET,FCSTEV
03/14/17,Nektar Therapeutics(NKTR-US) Schedules American Association for Cancer Research Meeting - Abstract 1598 for 3-April-2017 8:00 AM ET,FCSTEV
03/07/17,Nektar Therapeutics(NKTR-US) Schedules Cowen and Company Global Health Care Conference for 7-March-2017 11:20 AM ET,FCSTEV
03/02/17,Nektar to Webcast Presentation at Cowen and Company's 37th Annual Health Care Conference in Boston,PRN
03/01/17,Nektar Therapeutics Announces Upcoming Presentations at the American Association for Cancer Research Annual Meeting,PRN
03/01/17,Nektar Therapeutics Reports Fourth Quarter and Year-End 2016 Financial Results,PRN
02/22/17,Nektar Therapeutics(NKTR-US) Schedules Q4 2016 Earnings Call for 1-March-2017 5:00 PM ET,FCSTEV
