HZNPdate,HZNPnews,HZNPsource
01/21/20,DJ Press Release: FDA Approves TEPEZZATM -2-,DJGM
01/21/20,DJ Press Release: FDA Approves TEPEZZATM (teprotumumab-trbw) for the Treatment of Thyroid Eye Disease (TED),DJGM
01/14/20,"DJ Moody's Announces Completion Of A Periodic Review Of Ratings Of Horizon Therapeutics Usa, Inc.",DJGM
01/13/20,Horizon Therapeutics plc Increases Peak U.S. Annual Net Sales Expectations for Key Growth Drivers; Provides Update on Several Pipeline Programs,BW
01/13/20,DJ Press Release: Horizon Therapeutics plc Increases -2-,DJGM
01/13/20,DJ Press Release: Horizon Therapeutics plc Increases Peak U.S. Annual Net Sales Expectations for Key Growth Drivers; Provides Update on Several Pipeline Programs,DJGM
01/13/20,DJ Press Release: MIRROR Open-Label Study Topline -2-,DJGM
01/13/20,DJ Press Release: MIRROR Open-Label Study Topline Data of Methotrexate with KRYSTEXXA (pegloticase injection) Indicates Significant Improvement in Response Rate,DJGM
01/13/20,MIRROR Open-Label Study Topline Data of Methotrexate with KRYSTEXXA (pegloticase injection) Indicates Significant Improvement in Response Rate,BW
01/07/20,Horizon Therapeutics Plc(HZNP-US) Schedules JP Morgan Health Care Conference - Q&A Session for 15-January-2020 8:30 PM ET,FCSTEV
12/13/19,FDA Advisory Committee Votes Unanimously to Support the Use of Teprotumumab for the Treatment of Thyroid Eye Disease (TED),BW
12/13/19,DJ Press Release: FDA Advisory Committee Votes -2-,DJGM
12/13/19,DJ Press Release: FDA Advisory Committee Votes Unanimously to Support the Use of Teprotumumab for the Treatment of Thyroid Eye Disease (TED),DJGM
12/13/19,Horizon Therapeutics Plc(HZNP-US) Schedules FDA Dermatologic and Ophthalmic Drugs Advisory Committee Meeting for 13-December-2019 8:00 AM ET,FCSTEV
12/13/19,DJ Press Release: Horizon Therapeutics plc Trading Halted Today; FDA Dermatologic and Ophthalmic Drugs Advisory Committee (DODAC) Meeting to Discuss Teprotumumab for Thyroid Eye Disease,DJGM
12/13/19,Horizon Therapeutics plc Trading Halted Today; FDA Dermatologic and Ophthalmic Drugs Advisory Committee (DODAC) Meeting to Discuss Teprotumumab for Thyroid Eye Disease ,BW
12/09/19,Horizon Therapeutics Plc(HZNP-US) Schedules JP Morgan Health Care Conference for 15-January-2020 8:00 PM ET,FCSTEV
12/09/19,DJ Press Release: Horizon Therapeutics plc to Present at the 38th Annual J.P. Morgan Healthcare Conference,DJGM
12/09/19,Horizon Therapeutics plc to Present at the 38th Annual J.P. Morgan Healthcare Conference,BW
11/22/19,DJ Press Release: Horizon Therapeutics plc Opens New Manufacturing and R&D Facility in South San Francisco,DJGM
11/22/19,Horizon Therapeutics plc Opens New Manufacturing and R&D Facility in South San Francisco ,BW
11/21/19,"DJ Press Release: Horizon Therapeutics plc Launches New Online Community Connecting People Living with Thyroid Eye Disease and Urging them to ""Listen to Your Eyes""",DJGM
11/21/19,"Horizon Therapeutics plc Launches New Online Community Connecting People Living with Thyroid Eye Disease and Urging them to ""Listen to Your Eyes""",BW
11/14/19,FORTUNE and Great Place to Work¬ Name Horizon Therapeutics plc to Best Workplaces for Parents List,BW
11/14/19,DJ Press Release: FORTUNE and Great Place to Work(R) Name Horizon Therapeutics plc to Best Workplaces for Parents List,DJGM
11/13/19,Horizon Therapeutics Plc(HZNP-US) Schedules Jefferies London Health Care Conference for 20-November-2019 3:00 AM ET,FCSTEV
11/13/19,Horizon Therapeutics Plc(HZNP-US) Schedules Stifel Health Care Conference for 19-November-2019 9:45 AM ET,FCSTEV
11/13/19,Horizon Therapeutics Plc(HZNP-US) Schedules Piper Jaffray Healthcare Conference for 3-December-2019 12:00 PM ET,FCSTEV
11/13/19,DJ Press Release: Horizon Therapeutics plc to Participate in Upcoming Investor Conferences,DJGM
11/13/19,Horizon Therapeutics plc to Participate in Upcoming Investor Conferences ,BW
11/11/19,DJ Press Release: Data from Uncontrolled Gout Case -2-,DJGM
11/11/19,DJ Press Release: Data from Uncontrolled Gout Case Series Supports Immunomodulation with KRYSTEXXA(R) (pegloticase injection) Strategy to Optimize Treatment Outcomes,DJGM
11/11/19,Data from Uncontrolled Gout Case Series Supports Immunomodulation with KRYSTEXXA¬ (pegloticase injection) Strategy to Optimize Treatment Outcomes ,BW
11/10/19,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Meeting - Abstract: 1236 for 11-November-2019 9:00 AM ET,FCSTEV
11/10/19,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Meeting - Abstract: 1231 for 11-November-2019 9:00 AM ET,FCSTEV
11/10/19,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Meeting for 11-November-2019 3:30 PM ET,FCSTEV
11/10/19,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Meeting - Abstract: 335 for 10-November-2019 9:00 AM ET,FCSTEV
11/08/19,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Meeting - Abstract 1807 for 11-November-2019 2:45 PM ET,FCSTEV
11/08/19,The Chicago Tribune Names Horizon Therapeutics plc a 2019 Top Workplace,BW
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -3-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -9-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -5-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -2-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -8-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports Strong Third-Quarter 2019 Results,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -6-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -7-,DJGM
11/06/19,DJ Press Release: Horizon Therapeutics plc Reports -4-,DJGM
11/06/19,Horizon Therapeutics plc Reports Strong Third-Quarter 2019 Results,BW
11/05/19,DJ Press Release: Horizon Therapeutics plc Brings Gout-Kidney Link into Focus during American Society of Nephrology (ASN) Kidney Week 2019,DJGM
11/05/19,Horizon Therapeutics plc Brings Gout-Kidney Link into Focus during American Society of Nephrology (ASN) Kidney Week 2019,BW
11/04/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract PUB329 for 5-November-2019,FCSTEV
11/04/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract FR-PO1170 for 5-November-2019,FCSTEV
11/04/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract FR-PO1171 for 5-November-2019,FCSTEV
11/04/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract PUB426 for 5-November-2019,FCSTEV
11/04/19,DJ Press Release: Clinical Study Data Highlighting the Impact of Teprotumumab in Patients With Active Thyroid Eye Disease to Be Presented During ACR Annual Meeting,DJGM
11/04/19,Clinical Study Data Highlighting the Impact of Teprotumumab in Patients With Active Thyroid Eye Disease to Be Presented During ACR Annual Meeting,BW
11/04/19,New Evidence on the Burden of Gout to be Featured in Data Presentations at Upcoming ACR Annual Meeting,BW
10/31/19,"Integrated Clinical Trial Analyses Further Substantiate that Teprotumumab Significantly Improves Debilitating Effects of Thyroid Eye Disease, Including Eye Bulging, Double Vision and Quality of Life",BW
10/29/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Thyroid Association Meeting - Impact of Thyroid Eye Disease on Patient Quality of Life as P for 31-October-2019,FCSTEV
10/29/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Thyroid Association Meeting for 31-October-2019 9:50 AM ET,FCSTEV
10/24/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Thyroid Association Meeting - Trends in thyroid eye disease treatment among US endocrinolog for 1-November-2019,FCSTEV
10/24/19,DJ Press Release: Horizon Therapeutics plc Named One of the Most Innovative Companies by Crain's Chicago Business,DJGM
10/24/19,Horizon Therapeutics plc Named One of the Most Innovative Companies by Crain's Chicago Business,BW
10/24/19,DJ Press Release: AVISE(R) MTX Test from Exagen Supports Horizon Therapeutics plc Clinical Trial to Evaluate Pegloticase with Methotrexate to Enhance Response Rates for People Living with Uncontrolled Gout,DJGM
10/24/19,AVISE¬ MTX Test from Exagen Supports Horizon Therapeutics plc Clinical Trial to Evaluate Pegloticase with Methotrexate to Enhance Response Rates for People Living with Uncontrolled Gout,PMZ
10/24/19,DJ Press Release: New Combined Data from the Phase 2 and Phase 3 Teprotumumab Clinical Trials to be Presented during the American Thyroid Association Annual Meeting,DJGM
10/24/19,New Combined Data from the Phase 2 and Phase 3 Teprotumumab Clinical Trials to be Presented during the American Thyroid Association Annual Meeting,BW
10/17/19,FORTUNE and Great Place to Work¬ Name Horizon Therapeutics plc to Best Small & Medium Workplaces List for Fourth Consecutive Year,BW
10/17/19,Horizon Therapeutics plc Initiates PROTECT Trial Evaluating KRYSTEXXA¬ (pegloticase injection) to Improve Management of Uncontrolled Gout for Adults with a Kidney Transplant ,BW
10/11/19,New Data from Teprotumumab Phase 3 OPTIC Study Shows Significantly Reduced Double Vision and Improved Quality of Life for People with Active Thyroid Eye Disease ,BW
10/10/19,"For World Sight Day, Horizon and Prevent Blindness Are Calling on the Thyroid Eye Disease (TED) Community to Put ""Vision First"" ",BW
10/09/19,Horizon Therapeutics Plc(HZNP-US) Schedules Q3 2019 Earnings Release for 6-November-2019 7:00 AM ET,FCSTEV
10/09/19,Horizon Therapeutics Plc(HZNP-US) Schedules Q3 2019 Earnings Call for 6-November-2019 8:00 AM ET,FCSTEV
10/09/19,"Horizon Therapeutics plc to Release Third-Quarter 2019 Financial Results and Host Webcast on Nov. 6, 2019",BW
10/08/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Ophthalmic Plastic and Reconstructive Surgery Fall Scientific Symposium - Impact for 10-October-2019 9:45 AM ET,FCSTEV
10/08/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Ophthalmic Plastic and Reconstructive Surgery Fall Scientific Symposium - Physic for 10-October-2019 9:45 AM ET,FCSTEV
10/08/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Ophthalmic Plastic and Reconstructive Surgery Fall Scientific Symposium for 11-October-2019 12:14 PM ET,FCSTEV
10/08/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Society of Ophthalmic Plastic and Reconstructive Surgery Fall Scientific Symposium - Impact for 10-October-2019 9:45 AM ET,FCSTEV
10/08/19,New Data Insights from the Phase 3 Teprotumumab Trial (OPTIC) to be Presented at the American Society of Ophthalmic Plastic and Reconstructive Surgery (ASOPRS) Scientific Symposium ,BW
10/03/19,Horizon Therapeutics plc Named One of the Best Adoption-Friendly Workplaces by the Dave Thomas Foundation for Adoption,BW
09/09/19,Horizon Therapeutics plc Announces the FDA has Granted Priority Review of the Teprotumumab Biologics License Application (BLA) for the Treatment of Active Thyroid Eye Disease (TED),BW
08/28/19,"Horizon Therapeutics plc Names Andy Pasternak Executive Vice President, Chief Business Officer",BW
08/19/19,Horizon Therapeutics Plc(HZNP-US) Schedules Morgan Stanley Global Health Care Conference for 10-September-2019 10:00 AM ET,FCSTEV
08/19/19,American Journal of Ophthalmology (AJO) Publishes Review Highlighting Lack of Treatments for Active Thyroid Eye Disease (TED) ,BW
08/19/19,Horizon Therapeutics plc to Participate in the Morgan Stanley 17th Annual Global Healthcare Conference,BW
08/14/19,Horizon Therapeutics plc Collaborates with Rare Disease Advocates to Elevate Resources and Shared Experiences Through Launch of #RAREis» Community Website,BW
08/07/19,"Horizon Therapeutics plc Reports Strong Second-Quarter 2019 Results;
Increases Full_Year 2019 Net Sales and Adjusted EBITDA Guidance
",BW
08/01/19,Horizon Therapeutics plc Announces Teprotumumab Expanded Access Program,BW
08/01/19,Horizon Therapeutics plc Appoints Dr. Sue Mahony to Board of Directors,BW
07/25/19,Horizon Therapeutics plc Wins International CSR Excellence Award for Partnership with Perspectives Math and Science Academy,BW
07/18/19,Horizon Therapeutics plc Announces U.S. FDA Acceptance of its New Drug Application to Make PROCYSBI¬ (Cysteamine Bitartrate) Available as Oral Granules in Packets ,BW
07/16/19,Horizon Therapeutics Plc(HZNP-US) Schedules Q2 2019 Earnings Call for 7-August-2019 8:00 AM ET,FCSTEV
07/16/19,Horizon Therapeutics Plc(HZNP-US) Schedules Q2 2019 Earnings Release for 7-August-2019 7:00 AM ET,FCSTEV
07/16/19,"Horizon Therapeutics plc to Release Second-Quarter 2019 Financial Results and Host Webcast on Aug. 7, 2019",BW
07/11/19,Horizon Therapeutics plc Announces Pricing of Private Offering of Senior Notes ,BW
07/10/19,Horizon Therapeutics plc Announces Proposed Private Offering of Senior Notes ,BW
07/10/19,Horizon Therapeutics plc Submits Teprotumumab Biologics License Application (BLA) for the Treatment of Active Thyroid Eye Disease (TED),BW
06/27/19,Eyes on Graves' Initiative Urges Action for People with Graves' Disease and Thyroid Eye Disease ,BW
06/20/19,Horizon Therapeutics plc Initiates MIRROR Randomized Controlled Trial Evaluating KRYSTEXXA¬ (pegloticase injection) in Combination with Methotrexate to Increase Response Rates and Duration of Therapy,BW
06/12/19,Horizon Therapeutics plc Highlights the Systemic Implications of Gout and the Need for Improved Patient Care Strategies with a Series of Presentations at EULAR 2019,BW
06/05/19,Horizon Therapeutics Plc(HZNP-US) Schedules JMP Securities Life Science Conference for 20-June-2019 10:00 AM ET,FCSTEV
06/04/19,Horizon Therapeutics plc to Participate in the JMP Securities Life Sciences Conference,BW
05/29/19,Horizon Therapeutics plc and Invitae Corporation Launch Urea Cycle Disorder Genetic Testing Program,BW
05/21/19,Horizon Named One of the Best Workplaces in Chicago by Great Place to Work¬ and FORTUNE,BW
05/16/19,Horizon Therapeutics plc Launches New Data-Driven Campaign to Reset the Dialogue on Gout,BW
05/09/19,Horizon Therapeutics plc Announces Tina Ventura as a Healthcare Businesswomen's Association 2019 Luminary,BW
05/08/19,Horizon Therapeutics plc Reports Strong First-Quarter 2019 Results; Increases Full_Year 2019 Net Sales and Adjusted EBITDA Guidance,BW
05/07/19,Horizon Pharma Plc(HZNP-US) Schedules Q1 2019 Earnings Call for 8-May-2019 8:00 AM ET,FCSTEV
05/07/19,Horizon Pharma Plc(HZNP-US) Schedules Q1 2019 Earnings Release for 8-May-2019 7:04 AM ET,FCSTEV
05/06/19,Horizon Therapeutics plc Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),BW
05/01/19,Currax» Holdings USA LLC Announces Launch and Close of Acquisition,BW
04/26/19,"New Data from Phase 3 Teprotumumab Trial (OPTIC) Shows Dramatic Reduction in Proptosis, or Eye Bulging, the Main Cause of Morbidity in Active Thyroid Eye Disease (TED)",BW
04/26/19,Horizon Therapeutics Plc(HZNP-US) Schedules American Association of Clinical Endocrinologists Scientific & Clinical Congress for 26-April-2019 2:00 PM ET,FCSTEV
04/16/19,Horizon Pharma plc and Gift of Adoption Announce a New Fund to Facilitate Global Adoptions of Children with Rare Diseases,BW
04/12/19,Horizon Pharma plc to Present Results from its Phase 3 Teprotumumab Trial (OPTIC)æat the 2019 American Association of Clinical Endocrinologists (AACE) Scientific and Clinical Congress,BW
04/11/19,Horizon Pharma plc Named One of the 2019 Best Workplaces in Health Care and Biopharma by FORTUNE and Great Place to Work¬,BW
04/09/19,"Horizon Pharma plc to Release First-Quarter 2019 Financial Results and Host Webcast on May 8, 2019",BW
04/04/19,Horizon Pharma plc Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),BW
03/22/19,Horizon Therapeutics Plc(HZNP-US) Schedules Annual General Meeting for 2-May-2019 10:00 AM ET,FCSTEV
03/18/19,Horizon Pharma plc Wins PR News CSR Award for Partnership with Perspectives Math and Science Academy,BW
03/11/19,Horizon Pharma plc Announces Closing of Public Offering of Ordinary Shares and Full Exercise of Underwriters' Option to Purchase Additional Shares,BW
03/10/19,Horizon Pharma Plc(HZNP-US) Schedules Investor Meeting for 11-March-2019,FCSTEV
03/06/19,Horizon Pharma plc Announces Pricing of Public Offering of Ordinary Shares,BW
03/04/19,Horizon Pharma plc Announces Proposed Public Offering of Ordinary Shares,BW
03/01/19,Horizon Pharma plc Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),BW
02/28/19,Horizon Pharma plc Announces Phase 3 Confirmatory Trial Evaluating Teprotumumab (OPTIC) for the Treatment of Active Thyroid Eye Disease (TED) Met Primary and All Secondary Endpoints,BW
02/27/19,Horizon Pharma plc Reports Record Fourth-Quarter and Full-Year 2018 Net Sales Driven by Orphan and Rheumatology Segment; Announces Full-Year 2019 Guidance,BW
02/25/19,Horizon Pharma Plc(HZNP-US) Schedules Cowen and Company Health Care Conference for 11-March-2019 12:00 PM ET,FCSTEV
02/25/19,Horizon Pharma plc to Participate in Cowen and Company 39th Annual Health Care Conference,BW
01/29/19,Horizon Pharma Plc(HZNP-US) Schedules Q4 2018 Earnings Call for 27-February-2019 8:00 AM ET,FCSTEV
01/29/19,Horizon Pharma Plc(HZNP-US) Schedules Q4 2018 Earnings Release for 27-February-2019 7:00 AM ET,FCSTEV
01/29/19,"Horizon Pharma plc to Release Fourth-Quarter and Full-Year 2018 Financial Results and Host Webcast on Feb. 27, 2019",BW
01/08/19,Horizon Pharma Plc(HZNP-US) Schedules J.P. Morgan Healthcare Conference - Q&A for 8-January-2019 8:00 PM ET,FCSTEV
01/03/19,Horizon Pharma plc and HemoShear Therapeutics Enter into Exclusive Drug Discovery Collaboration in Gout,BW
12/27/18,Horizon Pharma plc Announces FDA Approval to Expand the Age Range for RAVICTI¬ (glycerol phenylbutyrate) Oral Liquid to Include Newborns,BW
12/17/18,Horizon Pharma Plc(HZNP-US) Schedules J.P. Morgan Healthcare Conference for 8-January-2019 7:30 PM ET,FCSTEV
12/17/18,Horizon Pharma plc to Present at the 37th Annual J.P. Morgan Healthcare Conference,BW
11/16/18,Horizon Pharma Plc(HZNP-US) Schedules Bank of America Merrill Lynch Leveraged Finance Conference for 4-December-2018 10:50 AM ET,FCSTEV
11/16/18,Horizon Pharma Plc(HZNP-US) Schedules Piper Jaffray Health Care Conference for 28-November-2018 9:00 AM ET,FCSTEV
11/16/18,Horizon Pharma Plc(HZNP-US) Schedules BMO Prescriptions for Success Healthcare Conference for 12-December-2018 11:20 AM ET,FCSTEV
11/16/18,Horizon Pharma plc to Participate in Upcoming Conferences,BW
11/13/18,Horizon Pharma Plc(HZNP-US) Schedules Investor Meeting for 14-November-2018,FCSTEV
11/08/18,Clinical Study Advancements for New Cancer Drug Candidates Boosting Optimism in Oncology Therapy Industry,PRN
11/07/18,Horizon Pharma plc Reports Third-Quarter Net Sales Growth of 20 Percent Driven by Orphan and Rheumatology Net Sales Growth of 25 Percent; Increases Full-Year 2018 Adjusted EBITDA Guidance,BW
11/02/18,The Chicago Tribune Names Horizon Pharma plc a 2018 Top Workplace,BW
10/29/18,Horizon Pharma plc Announces Presentation of Results of 48 Week Off-Therapy Follow-Up to the Phase 2 Trial of Teprotumumab at 2018 American Academy of Ophthalmology (AAO) Annual Meeting,BW
10/25/18,Horizon Pharma Plc(HZNP-US) Schedules Jefferies Health Care Conference for 15-November-2018 5:00 AM ET,FCSTEV
10/25/18,Horizon Pharma plc Presents Multiple Retrospective Analyses Showing Kidney Transplant Recipients Have Higher Rates of Gout and Increased Disease Severity,BW
10/25/18,Horizon Pharma Plc(HZNP-US) Schedules Stifel Health Care Conference for 14-November-2018 10:15 AM ET,FCSTEV
10/25/18,Horizon Pharma plc to Participate in Investor Conferences in November,BW
10/23/18,Horizon Pharma Plc(HZNP-US) Schedules TraceLink Futurelink Conference for 6-November-2018,FCSTEV
10/22/18,Horizon Pharma Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract TH-PO158 for 23-October-2018,FCSTEV
10/22/18,Horizon Pharma Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract TH-PO159 for 23-October-2018,FCSTEV
10/22/18,Horizon Pharma Plc(HZNP-US) Schedules American Society of Nephrology Kidney Week Conference - Abstract TH-PO160 for 23-October-2018,FCSTEV
10/22/18,Horizon Pharma Plc(HZNP-US) Schedules American College of Rheumatology/Association of Rheumatology Health Professionals Meeting for 22-October-2018 2:30 PM ET,FCSTEV
10/22/18,Horizon Pharma plc Announces Multiple Data Presentations Highlighting the Growing Burden of Uncontrolled Gout at the 2018 ACR/ARHP Annual Meeting,BW
10/18/18,Horizon Pharma Plc(HZNP-US) Schedules American College of Rheumatology/Association of Rheumatology Health Professionals Meeting - Abstract for 19-October-2018,FCSTEV
10/18/18,FORTUNE and Great Place to Work¬ Name Horizon Pharma plc to 2018 Best Small & Medium Workplaces for Third Consecutive Year,BW
10/10/18,Horizon Pharma Plc(HZNP-US) Schedules Q3 2018 Earnings Call for 7-November-2018 8:00 AM ET,FCSTEV
10/10/18,Horizon Pharma Plc(HZNP-US) Schedules Q3 2018 Earnings Release for 7-November-2018 7:00 AM ET,FCSTEV
10/10/18,"Horizon Pharma plc to Release Third-Quarter 2018 Financial Resultsæand Host Webcast on Nov. 7, 2018",BW
10/04/18,Horizon Pharma Plc(HZNP-US) Schedules American Academy of Ophthalmology Meeting for 29-October-2018 5:57 PM ET,FCSTEV
10/04/18,Horizon Pharma Plc(HZNP-US) Schedules American Society of Ophthalmic Plastic and Reconstructive Surgery Meeting for 25-October-2018,FCSTEV
10/04/18,Horizon Pharma Plc(HZNP-US) Schedules Phase 2 Clinical Trial of TeprotumumabUpdate Call for 4-October-2018 10:30 AM ET,FCSTEV
10/04/18,Horizon Pharma plc Announces Presentation of Data From 48 Week Off-Therapy Follow-Up to the Phase 2 Trial of Teprotumumab,BW
09/27/18,The North American Pediatric Renal Trials and Collaborative Studies and Horizon Pharma plc Announce New Long-Term Cystinosis Registry,BW
09/27/18,Horizon Pharma plc Initiates Clinical Trial to Evaluate KRYSTEXXA¬ (pegloticase injection) with Methotrexate to Enhance Response Rates for People Living with Uncontrolled Gout,BW
09/25/18,Horizon Pharma Plc(HZNP-US) Schedules American Thyroid Association Meeting - Oral Abstract 2 for 4-October-2018 9:05 AM ET,FCSTEV
09/25/18,Horizon Pharma Plc(HZNP-US) Schedules American Thyroid Association Meeting for 4-October-2018 10:30 AM ET,FCSTEV
09/25/18,Horizon Pharma plc to Present 48-Week Follow-Up Analysis of the Teprotumumab Phase 2 Trial at the Annual Meeting of the American Thyroid Association,BW
09/04/18,Horizon Pharma plc to Participate in the Morgan Stanley 16th Annual Global Healthcare Conference,BW
09/04/18,Horizon Pharma plc Completes Enrollment of Confirmatory Phase 3 Trial of Teprotumumab Ahead of Schedule,BW
08/21/18,"Investor Expectations to Drive Momentum within Materialise NV, Southern First Bancshares, Ensco plc, Corbus Pharmaceuticals, TCP Capital, and Horizon Pharma Public - Discovering Underlying Factors of Influence",PMZ
08/16/18,Horizon Pharma Plc(HZNP-US) Schedules Morgan Stanley Global Health Care Conference for 13-September-2018 10:35 AM ET,FCSTEV
08/08/18,Horizon Pharma plc Reports Record Quarterly Net Sales for Orphan and Rheumatology Segment; Increases Full-Year 2018 Adjusted EBITDA Guidance; Implements New Company Operating Structure to Enhance Focus on Rare Diseases,BW
07/25/18,"PEOPLE and Great Place to Work¬ Name Horizon Pharma plc to 2018 ""50 Companies That Care"" List",BW
07/16/18,Horizon Pharma plc Announces the U.S. Patent and Trademark Office Issuance of Additional Notices of Allowance With Claims Covering RAVICTI¬ (glycerol phenylbutyrate) Oral Liquid,BW
07/09/18,Horizon Pharma Plc(HZNP-US) Schedules Q2 2018 Earnings Call for 8-August-2018 8:00 AM ET,FCSTEV
07/09/18,Horizon Pharma Plc(HZNP-US) Schedules Q2 2018 Earnings Release for 8-August-2018 7:00 AM ET,FCSTEV
07/09/18,"Horizon Pharma plc to Release Second-Quarter 2018 Financial Resultsæand Host Webcast on August 8, 2018",BW
06/15/18,Horizon Pharma plc Presents Data at EULAR 2018 Advancing the Understanding and Management of Uncontrolled Gout,PMZ
06/14/18,Epidemiologic Study Findings Show 27 Percent Increase in Emergency Department Visitsæfor Gout in the United States Over the Past Decade,PMZ
06/07/18,Egalet Appoints Industry Veteran John Varian to Board of Directors,PRN
06/04/18,Horizon Pharma Plc(HZNP-US) Schedules Investor Meeting for 5-June-2018,FCSTEV
06/04/18,Horizon Pharma plc and the National Organization for Rare Disorders (NORD) Illustrate 35 years of Progress in Rare Disease at the Biotechnology Innovation Organization (BIO) International Convention,PMZ
05/30/18,Horizon Pharma Plc(HZNP-US) Schedules Goldman Sachs Global Health Care Conference for 12-June-2018 1:40 PM ET,FCSTTS
05/30/18,Horizon Pharma plc to Participate in the Goldman Sachs 39th Annual Global Healthcare Conference,PMZ
05/22/18,Horizon Pharma plc Named One of the Best Small and Medium Workplaces in Chicago by FORTUNE,PMZ
05/22/18,Horizon Pharma plc Launches GoutRevealed.com to Spotlight the Journey and Stories of People Living with Uncontrolled Gout,PMZ
05/21/18,Horizon Pharma Plc(HZNP-US) Schedules Investor Meeting for 22-May-2018,FCSTEV
05/09/18,Horizon Pharma plc Reports Strong First-Quarter 2018 Orphan and Rheumatology Net Sales Growth; Increases Full-Year 2018 Guidance and Announces New Company Operating Structure to Enhance Focus on Rare Diseases,PMZ
05/08/18,Horizon Pharma plc Announces the U.S. Patent and Trademark Office Issuance of Additional Notices of Allowance With Claims Covering RAVICTI¬ (glycerol phenylbutyrate) Oral Liquid,PMZ
05/04/18,Horizon Pharma plc Reports Inducement Grants Under NASDAQ Listing Rule 5635(c)(4),PMZ
05/03/18,AGC Biologics_Horizon Pharma plc_________,PRNA
05/03/18,AGC Biologics firma un acuerdo de producciÑn comercial con Horizon Pharma plc,PRNE
05/03/18,AGC Biologics schlie¤t Vereinbarung Ùber kommerzielle Herstellung mit Horizon Pharma plc ab,PRNE
05/03/18,AGC Biologics passe un accord de fabrication commerciale avec Horizon Pharma plc,PRNE
05/03/18,AGC Biologics Enters into Commercial Manufacturing Agreement with Horizon Pharma plc,PRN
05/03/18,Horizon Pharma plc Announces Sangita Iyer as a 2018 Healthcare Businesswomen's Association Rising Star,PMZ
05/01/18,Horizon Pharma Plc(HZNP-US) Schedules UBS Global Healthcare and Life Sciences Conference for 22-May-2018 9:30 AM ET,FCSTTS
05/01/18,Horizon Pharma plc to Participate in the UBS Global Healthcare Conference,PMZ
04/12/18,Horizon Pharma plc Named No. 1 Biopharma Company to Work for by Great Place to Work¬ and FORTUNE,PMZ
04/09/18,Horizon Pharma Plc(HZNP-US) Schedules Q1 2018 Earnings Call for 9-May-2018 8:00 AM ET,FCSTTS
04/09/18,Horizon Pharma Plc(HZNP-US) Schedules Q1 2018 Earnings Release for 9-May-2018,FCSTTS
04/09/18,"Horizon Pharma plc to Release First-Quarter 2018 Financial Resultsæand Host Webcast on May 9, 2018",PMZ
04/04/18,Horizon Pharma plc Reports Inducement Grants Under NASDAQ Listing Rule 5635(c)(4),PMZ
04/03/18,Horizon Pharma Plc(HZNP-US) Schedules Annual General Meeting for 3-May-2018 10:00 AM ET,FCSTTS
03/06/18,Horizon Pharma Plc(HZNP-US) Schedules Investor Meeting for 7-March-2018,FCSTEV
03/06/18,Horizon Pharma plc Reports Inducement Grants Under NASDAQ Listing Rule 5635(c)(4),PMZ
02/28/18,Horizon Pharma plc Announces Fourth-Quarter and Full-Year 2017 Results,PMZ
02/27/18,Horizon Pharma plc Submits Supplemental New Drug Application for RAVICTI¬ (glycerol phenylbutyrate) Oral Liquid to Expand Age Range to Include Newborns,PMZ
02/26/18,Horizon Pharma Gift Establishes First Clinical Team Endowment at Children's National Rare Disease Institute,PMZ
02/26/18,Horizon Pharma Plc(HZNP-US) Schedules Cowen & Co. Health Care Conference for 12-March-2018 4:10 PM ET,FCSTTS
