SUPNdate,SUPNnews,SUPNsource
02/18/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2015 Earnings Call for 3-March-2016 9:00 AM ET",FCSTEV
02/18/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2015 Earnings Release for 2-March-2016 After Market Hours ET",FCSTEV
02/18/16,Supernus to Host Fourth Quarter and Full Year 2015 Earnings Conference Call,PMZ
02/17/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen and Company Health Care Conference for 7-March-2016 2:40 PM ET",FCSTEV
02/09/16,"Covered Call Alerts For Starbucks, GW Pharmaceuticals, Supernus Pharmaceuticals, CSX and SunEdison Released By InvestorsObserver",PRN
02/08/16,Supernus Prevails in Oxtellar XR¨ ANDA Litigation,PMZ
12/04/15,Supernus Announces Distribution of Common Stock by NEA,PMZ
12/02/15,Supernus to Attend Guggenheim Securities Boston Healthcare Conference,PMZ
11/12/15,Supernus Announces Distribution of Common Stock by NEA,PMZ
11/09/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Health Care Conference for 17-November-2015 4:30 PM ET",FCSTTS
11/09/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Health Care Conference for 1-December-2015 10:30 AM ET",FCSTEV
11/09/15,Supernus to Present at Two Investor Conferences,PMZ
11/03/15,Supernus Announces Third Quarter 2015 Financial Results and Raises 2015 Guidance,PMZ
10/22/15,Supernus Announces FDA Acceptance of sNDA to Add Migraine to Trokendi XR(R) Label,PMZ
10/20/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2015 Earnings Call for 4-November-2015 9:00 AM ET",FCSTTS
10/20/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2015 Earnings Release for 3-November-2015 5:00 PM ET",FCSTEV
10/20/15,Supernus to Host Third Quarter 2015 Earnings Conference Call,PMZ
10/15/15,Supernus Announces Settlement With Par on Trokendi XR(R) Patent Litigation,PMZ
09/29/15,"Drugs - Generic Equities at a Glance -- Mylan, Zoetis, Ironwood Pharma, Akorn, and Supernus Pharma",PRN
09/02/15,Supernus Announces Issuance of Fifth U.S. Patent Protecting Oxtellar XR(R),PMZ
08/27/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules FBR Health Care Conference for 9-September-2015",FCSTTS
08/27/15,Supernus to Attend FBR Healthcare Conference on September 9th,PMZ
08/05/15,"Drugs - Generic Equities Coverage -- Oculus Innovative Sciences, Medicines, Supernus Pharma, Sophiris Bio, and Rigel Pharma",PRN
08/04/15,Supernus Announces Second Quarter 2015 Financial Results,PMZ
07/20/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2015 Earnings Release for 4-August-2015 After Market Hours ET",FCSTEV
07/20/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2015 Earnings Call for 5-August-2015 9:00 AM ET",FCSTEV
07/20/15,Supernus to Host Second Quarter 2015 Earnings Conference Call,PMZ
06/17/15,Supernus Corrects Earlier Statement Regarding Distribution of Common Stock by NEA,PMZ
06/17/15,Supernus Announces Distribution of Common Stock by NEA,PMZ
06/08/15,"Supernus Announces Webcast of Investor Day on June 17, 2015",PMZ
06/04/15,Manhattan Associates Set to Join the S&P MidCap 400; Supernus Pharmaceuticals to be Added to the S&P SmallCap 600,PRN
05/19/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Global Healthcare Conference for 2-June-2015 2:00 PM ET",FCSTTS
05/19/15,Supernus to Present at June Jefferies Healthcare Conference,PMZ
05/05/15,Supernus Announces First Quarter 2015 Financial Results,PMZ
04/21/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2015 Earnings Call for 6-May-2015 9:00 AM ET",FCSTTS
04/21/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2015 Earnings Release for 5-May-2015 After Market Hours ET",FCSTEV
04/21/15,Supernus to Host First Quarter 2015 Earnings Conference Call,PMZ
04/02/15,Supernus Announces Issuance of Sixth U.S. Patent Protecting Trokendi XR(R),PMZ
04/01/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 21-May-2015",FCSTTS
03/23/15,"Georges Gemayel, Ph.D., Joins Supernus Board of Directors",PMZ
03/10/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Investor Day for 17-June-2015 8:30 AM ET",FCSTTS
03/10/15,Supernus Announces Fourth Quarter and Full Year 2014 Results,PMZ
02/18/15,Supernus to Present at March Cowen Conference,PMZ
02/17/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2014 Earnings Call for 11-March-2015 9:00 AM ET",FCSTTS
02/17/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2014 Earnings Release for 10-March-2015 5:00 PM ET",FCSTTS
02/17/15,Supernus to Host Fourth Quarter and Full Year 2014 Earnings Conference Call,PMZ
02/11/15,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen & Co. Health Care Conference for 4-March-2015 8:40 AM ET",FCSTEV
01/21/15,Supernus Sues TWi for Infringement of Oxtellar XR(R) Patents,PMZ
01/16/15,Supernus Sues Par for Infringement of Trokendi XR(R) Patents,PMZ
12/10/14,Supernus Announces Paragraph IV ANDA Filing for Oxtellar XR(R),PMZ
12/09/14,Supernus Announces Paragraph IV ANDA Filing for Trokendi XR(R),PMZ
11/24/14,Supernus Announces Issuance of Fifth U.S. Patent Protecting Trokendi XR(R),PMZ
11/21/14,Supernus Sues Zydus for Infringement of Trokendi XR(R) Patents,PMZ
11/11/14,Supernus Announces Third Quarter 2014 Results,PMZ
11/07/14,Supernus Announces Issuance of Fourth U.S. Patent Protecting Trokendi XR(R),PMZ
11/04/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Healthcare Conference for 18-November-2014 10:55 AM ET",FCSTEV
11/04/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Healthcare Conference for 3-December-2014 2:30 PM ET",FCSTEV
11/04/14,Supernus to Present at Two Investor Conferences,PMZ
10/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2014 Earnings Call for 12-November-2014 9:00 AM ET",FCSTEV
10/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2014 Earnings Release for 11-November-2014",FCSTEV
10/29/14,Supernus to Host Third Quarter 2014 Earnings Conference Call,PMZ
10/14/14,Supernus Announces Paragraph IV ANDA Filing for Trokendi XR(R),PMZ
10/02/14,Supernus Sues Actavis for Infringement of Trokendi XR(R) Patents,PMZ
09/22/14,Supernus Provides Business Update,PMZ
09/04/14,Supernus Announces Issuance of Fourth US Patent Protecting Oxtellar XR(R),PMZ
08/21/14,Supernus Announces Paragraph IV ANDA Filing for Trokendi XR(R),PMZ
08/19/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules FBR Inaugural Healthcare Conference for 3-September-2014",FCSTEV
08/19/14,Supernus to Attend FBR HealthCare Conference in September,PMZ
08/15/14,"Five Star Equities Issues New Research Reports on DNDN, HNSN, SCLN and SUPN",NEWS_ACW
08/14/14,Supernus Receives FDA Fast Track Designation for SPN-810,PMZ
08/11/14,Supernus Announces Second Quarter 2014 Results,PMZ
07/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2014 Earnings Release for 11-August-2014 5:00 PM ET",FCSTEV
07/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2014 Earnings Call for 12-August-2014 9:00 AM ET",FCSTEV
07/29/14,Supernus to Host Second Quarter 2014 Earnings Conference Call,PMZ
07/08/14,Supernus to Receive $30 Million in Non-Dilutive Royalty Deal,PMZ
05/21/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Global Health Care Conference for 4-June-2014 11:00 AM ET",FCSTEV
05/21/14,Supernus to Present at Jefferies Healthcare Conference in June,PMZ
05/20/14,Supernus Receives $2 Million Milestone for United Therapeutics' Launch of Orenitram(TM),PMZ
05/12/14,Supernus Announces First Quarter 2014 Results,PMZ
04/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2014 Earnings Call for 13-May-2014 9:00 AM ET",FCSTEV
04/29/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2014 Earnings Release for 12-May-2014 After Market Hours ET",FCSTEV
04/29/14,Supernus to Host First Quarter 2014 Earnings Conference Call,PMZ
04/09/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 22-May-2014",FCSTEV
03/12/14,Supernus Announces Fourth Quarter and Full Year 2013 Results,PMZ
03/12/14,Supernus Announces Issuance of Third US Patent Protecting Trokendi XRª,BW
02/25/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2013 Earnings Call for 13-March-2014 9:00 AM ET",FCSTEV
02/25/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2013 Earnings Release for 12-March-2014 After Market Hours ET",FCSTEV
02/25/14,Supernus to Host Fourth Quarter and Full Year 2013 Earnings Conference Call,BW
02/20/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen & Co. Healthcare Conference for 3-March-2014 1:30 PM ET",FCSTEV
02/20/14,Supernus to Present at Cowen and Company Healthcare Conference in March,BW
02/07/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules RBC Capital Markets Global Healthcare Conference for 26-February-2014 9:00 AM ET",FCSTEV
02/07/14,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Citi Global Healthcare Conference for 25-February-2014",FCSTEV
02/07/14,Supernus at Citibank and RBC Global Healthcare Conferences in February,BW
02/03/14,Supernus Announces Publication of Phase III Study (PROSPER) Results on Oxtellar XR¨,BW
01/27/14,Supernus Announces Issuance of First Use Patents Protecting SPN-812 as a Novel Non-Stimulant ADHD Product,PMZ
01/08/14,"Upcoming Conferences, Share Price Updates, and Leadership Changes - Research Report on Lilly, Allergan, Waters, Novavax, and Supernus Pharmaceuticals",PRN
01/07/14,Supernus Announces Issuance of Third US Patent Protecting Oxtellar XR(R),PMZ
12/30/13,"Healthcare Companies Report Board Changes, FDA Approvals, and Conference Call Schedules - Research Report on Quest Diagnostics, Supernus Pharma, Puma Biotechnology, Pacira, and ResMed",PRN
12/24/13,Supernus Announces Resignation of Board Member,PMZ
12/23/13,"Supernus Announces FDA Approval of Its Partner's Product, Orenitram(TM)",PMZ
12/12/13,Supernus Posts Exciting Clinical Data Regarding Trokendi XR(TM) and Oxtellar XR(TM) on the Company Website,PMZ
11/21/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Healthcare Conference for 4-December-2013 3:00 PM ET",FCSTEV
11/21/13,Supernus to Present at Piper Jaffray Healthcare Conference in December,PMZ
11/19/13,"Healthcare Sector Announced Reforms, Financial Results, Public Offerings, Top Rankings and Positive Data - Research Report on Kindred, Zogenix, Sangamo, PhotoMedex and Supernus Pharmaceuticals",PRN
11/12/13,Supernus Pharmaceuticals Reports Third Quarter 2013 Financial Results,PMZ
11/11/13,"Upcoming Earnings Schedules, Conferences and Quarterly Financial Results - Research Report on Supernus, Ironwood, Neurocrine Biosciences, PhotoMedex, and Kythera",PRN
11/06/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2013 Earnings Release for 12-November-2013 After Market Hours ET",FCSTEV
11/06/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2013 Earnings Call for 12-November-2013 5:00 PM ET",FCSTEV
11/06/13,Supernus Announces Third Quarter 2013 Earnings Conference Call and Webcast,PMZ
11/06/13,Supernus Announces Release of Exciting New Clinical Data on Trokendi XR(TM),PMZ
09/05/13,Supernus Launches Trokendi XR(TM) in the United States,PMZ
08/29/13,Supernus to Present at Two Investor Conferences in September,PMZ
08/19/13,Supernus Announces Final FDA Approval and Upcoming Launch of Trokendi XR(TM),PMZ
08/14/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Rodman & Renshaw Global Investment Conference for 9-September-2013 11:40 AM ET",FCSTEV
08/13/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2013 Earnings Call for 13-August-2013 5:00 PM ET",FCSTEV
08/13/13,Supernus Pharmaceuticals Reports Second Quarter 2013 Financial Results,PMZ
08/07/13,Supernus Sues Watson for Infringement of Oxtellar XR(TM) Patents,PMZ
08/06/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2013 Earnings Release for 13-August-2013 After Market Hours ET",FCSTEV
08/06/13,Supernus Announces Second Quarter 2013 Earnings Conference Call and Webcast,PMZ
06/27/13,Supernus Announces Paragraph IV ANDA Filing for Oxtellar XR(TM),PMZ
06/10/13,Supernus Receives Tentative Approval for Trokendi XR(TM),PMZ
05/20/13,Supernus to Present at Two Investor Conferences,PMZ
05/13/13,Supernus Pharmaceuticals Reports First Quarter 2013 Financial Results,PMZ
05/06/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2013 Earnings Call for 13-May-2013 5:00 PM ET",FCSTEV
05/06/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2013 Earnings Release for 13-May-2013 After Market Hours ET",FCSTEV
05/06/13,Supernus Announces First Quarter 2013 Earnings Conference Call and Webcast,PMZ
05/06/13,Supernus Announces Closing of $90 Million of 7.50% Convertible Senior Secured Notes Due 2019,PMZ
04/26/13,Supernus Prices Offering of $75 Million of 7.50% Convertible Senior Secured Notes Due 2019,PMZ
04/24/13,Supernus Announces Proposed Offering of $75 Million of Convertible Senior Secured Notes,PMZ
03/19/13,"Free Research Reports on CIM, JVA, MS and SUPN Issued by the Bedford Report",INW
03/19/13,U.S. Food and Drug Administration Approved 30% More Drugs in 2012 Than the Year Previous,INW
03/14/13,Supernus Pharmaceuticals Reports Fourth Quarter 2012 and Full Year 2012 Financial Results,PMZ
03/07/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2012 Earnings Call for 14-March-2013 5:00 PM ET",FCSTEV
03/07/13,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2012 Earnings Release for 14-March-2013 After Market Hours ET",FCSTEV
03/07/13,Supernus Announces Year-End and Fourth Quarter 2012 Earnings Conference Call and Webcast,PMZ
02/01/13,Supernus Launches Oxtellar XR(TM) in the United States,PMZ
01/14/13,Supernus Appoints Victor Vaughn as Senior Vice President of Sales,PMZ
12/19/12,"Perfect Trade Setups, How to Play SUPN, MLNX, WIN and MDLZ ",INW
12/18/12,"The Real Story Behind SUPN, MLNX, WIN and MDLZ ",INW
12/03/12,"Free Research Reports on CBK, RIC, SUPN and NTLS Issued by the Bedford Report ",INW
11/29/12,Supernus Announces Pricing of Public Offering,PMZ
11/20/12,Supernus Announces Positive Phase IIb Results on SPN-810 and Decision to Advance to Late Stage Development,PMZ
11/19/12,Supernus Receives Three Years of Market Exclusivity for Oxtellar XR(TM),PMZ
11/12/12,Semi-Annual Changes to the NASDAQ Biotechnology Index,PMZ
11/07/12,Supernus Pharmaceuticals Reports Third Quarter 2012 Financial Results,PMZ
11/06/12,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2012 Earnings Release for 7-November-2012",FCSTEV
11/05/12,Supernus Announces Issuance of Two Patents Covering Trokendi XR(TM),PMZ
10/31/12,Supernus Announces Resignation of Board Member,PMZ
10/22/12,Supernus Receives FDA Approval for Oxtellar XR(TM) in Epilepsy,PMZ
08/29/12,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Rodman and Renshaw Global Investment Conference for 10-September-2012 3:40 PM ET",FCSTEV
08/29/12,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Nicolaus Healthcare Conference for 6-September-2012 8:00 AM ET",FCSTEV
08/29/12,Supernus to Present at Two Investor Conferences in September 2012,PMZ
08/10/12,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2012 Earnings Release for 10-August-2012",FCSTEV
08/10/12,Supernus Pharmaceuticals Reports Second Quarter 2012 Financial Results,PMZ
07/20/12,"Supernus Appoints Dr. Stefan Schwabe, MD, PhD as Exec. VP R&D and Chief Medical Officer",PMZ
07/13/12,Supernus Provides Update on the Launch of Its Two Epilepsy Products Trokendi XR(TM) and SPN-804,PMZ
06/26/12,"SmallCapReview.com - Small Cap Biotechs To Watch - SUPN, PBTH, CTIX",NEWS_ACW
06/26/12,Supernus Receives Tentative Approval of Trokendi XR(TM) From FDA,PMZ
06/07/12,Supernus Pharmaceuticals Reports First Quarter 2012 Financial Results,PMZ
06/06/12,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2012 Earnings Release for 7-June-2012",FCSTEV
06/06/12,"Research and Markets: Childhood Epilepsy Therapeutics Market is Forecast To Register Slow Growth at a Compound Annual Growth Rate (CAGR) Of 5.0% to Reach $1,065m By 2019",BW
05/04/12,"Supernus Pharmaceuticals, Inc. Announces Closing of Initial Public Offering",PMZ
04/30/12,"Supernus Pharmaceuticals, Inc. Announces Pricing of Initial Public Offering",PMZ
01/06/12,Supernus Pharmaceuticals Raises $42 Million to Prepare for Launch of Product Candidates in Epilepsy and Develop Pipeline in ADHD,BW
11/28/11,Supernus Pharmaceuticals Initiates Phase IIb Clinical Trial for SPN-810 in Impulsive Aggression,BW
03/11/11,Supernus Pharmaceuticals Announces Positive Results from Phase IIa Clinical Trial for SPN-812 in Adults with ADHD,BW
01/11/11,"Pharma, Biotech Licensing Alliances, Best Practices and Deals to Be Reviewed at Upcoming iiBIG San Diego Summit ",INW
07/13/10,Supernus Pharmaceuticals Advances SPN812 into Phase IIa U.S. Clinical Trial for ADHD,BW
01/27/10,Supernus Announces Positive Results from Phase IIa Clinical Trial for SPN 810 in Children with ADHD and Serious Conduct Problems,BW
